,Title,Abstract,Category,Words
10,Portfolio Governance,"Project portfolio governance is a critical capability in the best of times. With a firm foundation, ongoing governance and oversight enable projects and programs to proceed down the path to arrive at the strategic destination. The intention of portfolio  Portfolio Governance",Capacity management,  governance critical cap   firm foundation ongoing governance oversight enable  program proceed path arrive strategic destination intention   governance
11,The Role of Project Management Office in Managing Project Portfolio Management: A Descriptive Study in Indonesian Banks,Purpose: This paper presents a preliminary study of the complete research to explore how strategic initiatives are implemented in Indonesian banks. It has the aim to descriptively compare the Project Portfolio Management (PPM) Capabilities and bank perfo The Role of Project Management Office in Managing Project Portfolio Management: A Descriptive Study in Indonesian Banks,Capacity management,   liminary study complete research explore strategic initiative implemented indsian bank  descriptively compare    ppm cap bank perfo role   office managing    descriptive study indsian bank
12,A binary decision tree approach for pharmaceutical project portfolio management,"In pharmaceutical R&D, decision makers face a large portion of uncertainty in portfolio decisions. Existing optimization tools are mostly based on expected values, ignoring uncertainty, and most often deliver a single, ?best? selection of projects. A dec A binary decision tree approach for pharmaceutical project portfolio management",Capacity management,pharmaceutical  decision   large portion uncertainty  decision existing optimization tool mostly based expected value ignoring uncertainty  deliver   selection  dec binary decision tree approach pharmaceutical   
13,Aligning construction projects with strategy,This chapter explores the alignment of construction projects with strategy through several case studies and offers insights for the development of project portfolio management (PPM) capabilities in construction. Most PPM research occurs in industries ass Aligning construction projects with strategy,Capacity management,chapter explores alignment construction  strategy   study offer insight development    ppm cap construction ppm research occurs industry  aligning construction  strategy
14,Advances in project management: Narrated journeys in unchartered territory,"On the evidence of the authors of Advances in Project Management: Narrated Journeys in Unchartered Territory, there is a sea change coming. That change will affect the way projects are perceived, lead and governed, particularly in the context of the wide Advances in project management: Narrated journeys in unchartered territory",Capacity management,evidence  advance   narrated journey unchartered territory sea change coming change affect way  perceived lead governed particularly context wide advance   narrated journey unchartered territory
15,Power Grid Construction Project Portfolio Optimization Based on Bi-level programming model,"As the main body of power grid operation, county-level power supply enterprises undertake an important emission to guarantee the security of power grid operation and safeguard social power using order. The optimization of grid construction projects has b Power Grid Construction Project Portfolio Optimization Based on Bi-level programming model",Capacity management,main body power grid operation county  power supply enterprise undertake important emission guarantee security power grid operation safeguard social power  order optimization grid construction   power grid construction   optimization based   programming model
16,Practicing operations management in a laboratory management; [pRaticando Gestão de opeRações em um laboRatóRio de Gestão],"Describing models of operations management is not sufficient to illustrate its dynamism, complexity and importance. The lack of proper balance between theory and practice in education regarding operations management suggests the search for initiatives th Practicing operations management in a laboratory management; [pRaticando Gestão de opeRações them um laboRatóRio de Gestão]",Capacity management,describing model operation  sufficient illustrate dynamism complexity importance lack proper balance theory practice education regarding operation  suggests search initiative  practicing operation  laboratory  praticando gestao  operacoes  laboratorio  gestao
17,Portfolio Development Planning for Operational and Strategic Decisions,"BP, a major shareholder of the Atlantic LNG Plant in Trinidad and Tobago, was in search of project modeling and economic forecasting tools to help meet the aggressive commercial gas demands of this asset. This asset consists of 7 production fields that s Portfolio Development Planning for Operational and Strategic Decisions",Capacity management, major shareholder atlantic lng plant trinidad tobago search  modeling economic forecasting tool  meet aggressive commercial gas demand   consists   production   development planning operational strategic decision
18,"15th Wuhan International Conference on E-Business, WHICEB 2016","The proceedings contain 70 papers. The special focus in this conference is on E-Business. The topics include: An Empirical Research on Hotel Revenue Management Financial Performance Influencing Factors; an Empirical Research on the Evaluation System of C 15th Wuhan International Conference on E-Business, WHICEB 2016",Capacity management,proceeding     special  conference  business topic  empirical research hotel revenue  financial performance influencing factor empirical research evaluation     wuhan international conference  business whiceb  
19,"Portfolio management in commercially oriented businesses: Project selection, prioritization and measurement","In a commercially focused project oriented business, project identification, selection and execution determine profitability. A business must measure, rank and prioritize its commercial projects to ensure resources are allocated to the high priority comp Portfolio management in commercially oriented businesses: Project selection, prioritization and measurement",Change Management,commercially   oriented business  identification selection execution deine profit business must measure rank prioritize commercial  ensure resource allocated high priority comp   commercially oriented business  selection prioritization measurement
20,A Sustainability Assessment Framework for On-Site and Off-Site Construction Logistics,"Urban areas pay increasing attention to new construction and infrastructure works, mainly due to the rapid global rise in urbanisation. In the long run, these works have a positive correlation with the economic and social attractiveness of cities. Constr A Sustainability Assessment Framework for On-Site and Off-Site Construction Logistics",Change Management,urban  pay increasing attention  construction infrastructure work mainly due  global rise urbanisation  run work positive correlation economic social attractiveness city constr sustain assessment framework   off  construction logistics
21,"A project prioritization approach considering uncertainty, reliability, criteria prioritization, and robustness","Given the limitation of resources in organizations (time, money, staff, material, etc.), deciding which projects should be given priority ? among many competing projects ? is a constant and continuous challenge for decision makers. As a result, a prolife A project prioritization approach considering uncertainty, reliability, criteria prioritization, and robustness",Change Management, limitation resource organization   staff material etc deciding   priority among  competing  constant continuous challenge decision   prolife  prioritization approach considering uncertainty reli criterion prioritization robustness
22,"International Conference on Information Systems, ICIS 2012, Volume 5","The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s International Conference on Information Systems, ICIS 2012, Volume 5",Change Management,proceeding     special  conference information  topic  heterogeneity landscape monopoly power firm community ecology innovation  peer influence large international conference information  icis   volume  
23,Project portfolio management: A powerful strategic weapon in pharmaceutical drug development,"International pharma market dynamics increasingly require that pharmaceutical companies add value to their organizations at all levels. In this respect, strategic research and development (R&D) portfolio management constitutes an extremely important tool Project portfolio management: A powerful strategic weapon in pharmaceutical drug development",Change Management,international pharma market dynamic increasingly require pharmaceutical company add value organization  respect strategic research development    constitutes extremely important tool    powerful strategic weapon pharmaceutical drug development
24,A Sustainability Assessment Framework for On-Site and Off-Site Construction Logistics,"Urban areas pay increasing attention to new construction and infrastructure works, mainly due to the rapid global rise in urbanisation. In the long run, these works have a positive correlation with the economic and social attractiveness of cities. Constr A Sustainability Assessment Framework for On-Site and Off-Site Construction Logistics",Change Management,urban  pay increasing attention  construction infrastructure work mainly due  global rise urbanisation  run work positive correlation economic social attractiveness city constr sustain assessment framework   off  construction logistics
25,"Developing a Sustainable and Circular Bio-Based Economy in EU: By Partnering Across Sectors, Upscaling and Using New Knowledge Faster, and For the Benefit of Climate, Environment & Biodiversity, and People & Business","This paper gives an overview of development of the EU-bioeconomy, 2014?2020. The Vision of the new Circular Bio-based Economy, CBE is presented: Unlocking the full potential of all types of sustainably sourced biomass, crop residues, industrial side-stre Developing a Sustainable and Circular Bio-Based Economy in EU: By Partnering Across Sectors, Upscaling and Using New Knowledge Faster, and For the Benefit of Climate, Environment & Biodiversity, and People & Business",Change Management,  overview development  bioeconomy     vision  circular bio based economy cbe  unlocking full potential type sustainably sourced biomass crop residue industrial side stre developing sustainable circular bio based economy  partnering across sector upscaling   knowledge faster benefit climate environment biodiversity people business
26,Project-based Management of the Production Equipment Maintenance and Repair Information System,"The relevance of the research is due to the need to create an effective maintenance and repair planning system based on the development and implementation of methods that allow ranking and selecting the most priority maintenance and repair activities, de Project-based Management of the Production Equipment Maintenance and Repair Information System",Financial management,relevance research due  create effective maintenance repair planning  based development implementation method allow ranking selecting priority maintenance repair activity   based  production equipment maintenance repair information 
27,The basics of the project portfolio management generalized body of knowledge,"Several experts- surveys show that the success indicators of a new product in the market have a strong positive correlation with the performance of project portfolio management in organizations, and the success of the project is strongly related to the m The basics of the project portfolio management generalized body of knowledge",Financial management, expert survey  success indicator  product market strong positive correlation performance    organization success  strongly related basic    generalized body knowledge
28,Developing a framework for renewable technology portfolio selection: A case study at a R&D center,"The rapid development of technologies, their increasing complexity and variety, long lead times of R&D and market dynamics have made the task of technology selection difficult. Considering high level of competitiveness, organizations need to strategicall Developing a framework for renewable technology portfolio selection: A case study at a R&D center",Financial management, development technology increasing complexity variety  lead   market dynamic made task technology selection difficult considering high  competitiveness organization  strategicall developing framework reable technology  selection  study  center
29,The impact of human resource sharing on IT project risk,"The increasing number of sophisticated IT projects and the scarcity of skilled human resources increasingly challenge IT project portfolio managers with the need to do 'more with less'. Consequently, resource sharing among projects provides a widely appl The impact of human resource sharing on IT project risk",Financial management,increasing  sophisticated  scarcity skilled human resource increasingly challenge       resource sharing among  provides widely appl impact human resource sharing  risk
30,Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach,"Purpose: This study aims to develop a model for project portfolio selection considering organizational goals such as budgets, sustainability cash flow and reinvestment strategy under an uncertain environment. Design/methodology/approach: A multi-objectiv Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach",Financial management, study  develop model   selection considering organizational goal budget sustain cash flow reinvestment strategy uncertain environment design methodology approach multi objectiv optimal   selection reinvestment strategy considering sustain uncertain environment multi objective optimization approach
31,Development of natural gas assets in frontier offshore areas under challenging technical and economic environment - A project finance with real options approach,"Gas field developments have been fundamental in the transition of moving toward a cleaner worldwide energy matrix. These developments normally flourish in the presence of large volumes, suitable infrastructure and committed demand through long-term contr Development of natural gas assets in frontier offshore areas under challenging technical and economic environment - A project finance with real options approach",Financial management,gas  development fundamental transition moving toward cer wide energy matrix development normally flourish sence large volume suitable infrastructure committed demand   contr development natural gas  frontier offshore  challenging technical economic environment  finance real option approach
32,A system dynamics investigation of project portfolio management evolution in the energy sector: Case study: an Iranian independent power producer,"Purpose: Project portfolio management (PPM) is a commonly used technique to align projects with strategy and to ensure adequate resourcing for projects. In this paper, to gain a better understanding of PPM dynamics, a system dynamics (SD) model was devel A system dynamics investigation of project portfolio management evolution in the energy sector: Case study: an Iranian independent power producer",Financial management,    ppm commonly  technique align  strategy ensure adequate resourcing   gain better understanding ppm dynamic  dynamic  model devel  dynamic investigation    evolution energy sector  study iranian independent power producer
33,Mapping between artefacts and portfolio processes from the PMI standard for portfolio management,"Among the decisions that software development organizations need to take is to define which projects should developed, as these are, ultimately, the reason for their existence. This decision is part of a broader decision-making process than the strictly  Mapping between artefacts and portfolio processes from the PMI standard for portfolio management",Financial management,among decision software development organization  take define   ultimately reason existence decision part broader decision making  strictly mapping artefact   pmi standard  
34,Stochastic forecasting of project streams for construction project portfolio management,"Background: Construction companies typically work on many projects simultaneously each with its own objectives and resource demands. Consequently, a key managerial function is to allocate financial, equipment, and human resources between these concurrent Stochastic forecasting of project streams for construction project portfolio management",Financial management,background construction company typically work   simultaneously objective resource demand   rial function allocate financial equipment human resource concurrent stochastic forecasting  stream construction   
35,"Determinants of the use of predictive models in the management of investment portfolios, on the example of KGHM Polska Miedz S.A.","The authors present the determinants of the use of predictive analysis to support decision-making processes in the area of investment project portfolio management. The requirements are analyzed on the example of investment project portfolios of a mining company. The research is complemented by the description of already conducted tests, where predictive models have been created to determine most effective algorithms and key project attributes allowing to predict possible budget deviations. The proposed requirements for the implementation of the predictive analysis can be applied in other organizations managing projects according to project management methodologies with access to structured project data. © 2022 The Authors. Published by Elsevier B.V. Determinants of the use of predictive models in the management of investment portfolios, on the example of KGHM Polska Miedz S.A.",Financial management,  deinant  dictive analysis support decision making   investment    requirement analyzed example investment   mining company research complemented description already conducted test dictive model created deine effective algorithm   attribute allowing dict possible budget deviation  requirement implementation dictive analysis applied organization managing  according   methodology access structured  data    published elsevier   deinant  dictive model  investment  example kghm polska miedz  
36,Risk assessment of innovative projects: Development of forecasting models,"The purpose of this article is development a systematic dynamic complex model of generation and risk assessment of innovative project, on the bases of which a scenario modeling of many risks influence arising at certain stages of project implementation in the target area. For article purpose realization, the paper proposes a complex toolkit for modeling the innovative projects risks in the direction of their impact on performance indicators in scenarios, which involves the implementation of the following stages of modeling: Stage 1. Collection and processing of project data; Stage 2. Evaluation of innovation project efficiency indicators; Stage 3. Formation and assessment of many risks of innovation project by components, nature and impact strength; Stage 4. Modeling of innovative project development scenarios. The implemented set of models makes possible to compare all components of efficiency and riskiness, which determine the integrated aggregate level of project risk by components of life cycle risks, target project risks and scenarios depending on environmental factors and managers propensity to take risks, and solves the problem of positioning the real indicators state of innovation project efficiency in a comparative dynamic context based on three-level assessment, due to structural elements of risks and identification of possible and promising deadlines and time horizons by stages of the project life cycle, critical paths and reserves which allow us to achieve the main goal of improving the innovative projects implementation efficiency. © 2021 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0). Risk assessment of innovative projects: Development of forecasting models",Financial management, article development atic dynamic complex model generation risk assessment innovative  base scenario modeling  risk influence arising certain stage  implementation target  article  realization  proposes complex toolkit modeling innovative  risk direction impact performance indicator scenario involves implementation ing stage modeling stage   collection ing  data stage   evaluation innovation  efficiency indicator stage   formation assessment  risk innovation  compnt  impact strength stage   modeling innovative  development scenario implemented  model  possible compare compnt efficiency riskiness deine integrated aggregate   risk compnt life cycle risk target  risk scenario depending environmental factor  prsity take risk solves  positioning real indicator state innovation  efficiency comparative dynamic context based three  assessment due structural element risk identification possible promising deadline  horizon stage  life cycle critical path reserve allow   main goal improving innovative  implementation efficiency      permitted creative common license attribution   international    risk assessment innovative  development forecasting model
37,Business Value Creation Through Project Management Based on Big Data Approach,"In the era of big data, the high level of businesses’ digitalization, and new technology development in various fields, awash companies in a flood of massive amounts of data. Dealing with that fact is non more an option. Companies have to reexamine the way they do business in order to gain benefits from big data. Consequently, they have to review their approach of managing projects in order to create the added value. For the purpose of assessing this issue, we have adopted a research approach built on two phases. In the first, we have performed a systematic literature review to spot the gaps in the current research. The results have revealed that so far, no scientific work has discussed how companies can create business value through project management in a big data context. These results have also shown significant contributions of the research community on how big data contributes to value creation in organizations. In the second, we have suggested an approach to fills the identified gap by proposing a framework that support project management process in big data environment. © 2022 International Information and Engineering Technology Association. All rights reserved. Business Value Creation Through Project Management Based on Big Data Approach",Financial management,era big data high  business digitalization  technology development various  awash company flood massive amount data dealing fact  option company reexamine way business order gain benefit big data  review approach managing  order create added value  assessing issue adopted research approach  two phase first performed atic literature review spot gap current research  revealed far scientific work discussed company create business value   big data context    significant contribution research community big data contributes value creation organization second suggested approach fill identified gap proposing framework support    big data environment   international information engineering technology association right reserved business value creation   based big data approach
38,Neural network based framework for optimization of enterprise resource planning,"Enterprise resource planning (ERP) systems are comprehensive information technology packages which aim towards managing and integrating all the business functions within a company. ERP is built on a totally integrated unique data warehouse. Business intelligence may be created based on the information stored in the data warehouse, to enable efficient management and operations monitoring of all areas of the organization. This paper introduces a new approach that employs soft computing (SC) techniques towards automatic optimization of the management decision making process which allows for an efficient strategic management of the company. Neural network based framework for optimization of enterprise resource planning",Financial management,enterprise resource planning erp  comhensive information technology package  towards managing integrating business function  company erp  totally integrated unique data wareho business intelligence may created based information stored data wareho enable efficient  operation monitoring  organization  introduces  approach employ soft computing  technique towards automatic optimization  decision making  allows efficient strategic  company neural network based framework optimization enterprise resource planning
39,PIFs for projects: Measuring performance impact factors for ICT projects,"ICT Projects have a bad reputation: they often exceed budget or change scope. It holds especially when writing new software is involved, however, writing mobile apps, joint & distributed software development across organizations, integration of new servi PIFs for projects: Measuring performance impact factors for ICT projects",Financial management,ict  bad reputation  exceed budget change scope hold especially writing  software involved  writing mobile apps joint distributed software development across organization integration  servi pifs  measuring performance impact factor ict 
40,Mature or emerging markets: Competitive duopoly investment decisions,"We develop a competitive investment model wherein two competing firms consider investing into two projects targeting, separately, a mature and an emerging market. The returns firms obtain from investments into these markets are assumed to follow an S-sha Mature or emerging markets: Competitive duopoly investment decisions",Financial management,develop competitive investment model wherein two competing firm consider investing two  targeting separately mature emerging market return firm obtain investment market assumed   sha mature emerging market competitive duopoly investment decision
41,Capital project management systems,"Capital project management systems can enhance an organization's ability to keep the projects on track, on time and on budget; and improve their ability to meet financial and performance goals. DTE Energy selected Skire Unifier as its company wide projec Capital project management systems",Financial management,capital    enhance organization  keep  track  budget improve  meet financial performance goal dte energy selected skire unifier company wide projec capital   
42,Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach,"Purpose: This study aims to develop a model for project portfolio selection considering organizational goals such as budgets, sustainability cash flow and reinvestment strategy under an uncertain environment. Design/methodology/approach: A multi-objectiv Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach",Financial management, study  develop model   selection considering organizational goal budget sustain cash flow reinvestment strategy uncertain environment design methodology approach multi objectiv optimal   selection reinvestment strategy considering sustain uncertain environment multi objective optimization approach
43,Managing big data of offshore project lifecycle through investment information system,"Big Data is popular term in some recent years and become leverage for business trend around the world. Absolutely 100% agree, all the business uses Information Technology for expanding their business and even survive on the market. IT is not supporting b Managing big data of offshore project lifecycle through investment information system",Financial management,big data popular  recent year  leverage business trend   absolutely   agree business  information technology expanding business even survive market supporting  managing big data offshore  lifecycle investment information 
44,Information technology (IT) project portfolio management practices in South Africa,"Many organisations have adopted Project Portfolio Management (PPM) processes to improve the implementation of their strategies, however few organisations have achieved tangible returns on investment (ROI) from PPM. Although PPM stakeholders are aware tha Information technology (IT) project portfolio management practices in South Africa",Governance, organisation adopted    ppm  improve implementation strategy  organisation  tangible return investment roi ppm  ppm stakeholder aware tha information technology    practice south africa
45,Strategic alignment and value maximization for IT project portfolios,"Managing project portfolios has been a challenge to many IT organizations due to the size and complexity of their initiatives that are often cross-functional, fast changing, and transformational in nature. Governance on soliciting, selecting, and monitor Strategic alignment and value maximization for IT project portfolios",Governance,managing   challenge  organization due size complexity initiative  cross functional fast changing transformational  governance soliciting selecting monitor strategic alignment value maximization  
