Title,Capacity management,Change Management,Financial management,Governance,Monitoring and control,Risk management,Stakeholder management,Strategic alignment,Value management
Heterogeneities among credit risk parameter distributions: the modality defines the best estimation method,3.61,4.93,3.56,3.46,5.53,4.22,4.76,4.29,2.44
Neural networks meet least squares Monte Carlo at internal model data,3.01,1.41,5.6,4.23,4.04,3.16,3.9,3.44,3.91
Ex Post Project Risk Assessment: Method and Empirical Study,5.81,7.04,8.91,4.62,7.02,8.08,5.19,5.64,6.36
Deterministic and Probabilistic Risk Management Approaches in Construction Projects: A Systematic Literature Review and Comparative Analysis,5.81,6.34,7.38,6.92,5.74,7.73,6.93,6.13,6.85
Investment decisions and passive portfolio construction utilizing patent analytics: A multi-case study on COVID-19 treatment technologies,4.81,7.04,6.36,8.46,6.6,5.45,6.06,4.66,8.07
A resource orchestration perspective of organizational big data analytics adoption: evidence from supply chain planning,7.82,6.34,5.85,7.31,6.38,5.8,9.09,5.52,7.58
Upper funnel ad effectiveness and seasonality in consumer durable goods,4.21,2.82,5.85,5.38,4.68,4.75,4.33,3.93,3.67
A Stacked Model for Approving Bank Loans,8.62,6.34,7.63,8.46,8.51,7.56,7.79,7.36,8.8
Pricing and CEOs: why top executives need to get involved,7.82,10.56,8.4,10.77,7.23,7.21,9.52,5.64,7.33
How greater data access will make civil engineering and construction more productive,3.61,5.63,3.82,3.08,3.19,2.64,4.76,2.58,3.42
Management Model and Capture of Benefits Integrated into the Practice of Project Management,4.81,8.45,7.89,7.31,5.53,6.85,7.79,5.28,5.13
A NEW REALITY: The Close Interaction Between Economic Theory and Practice,4.61,5.63,4.58,5.0,4.26,6.5,3.9,5.15,5.13
Seismic risk prioritisation schemes for reinforced concrete bridge portfolios,4.61,7.04,6.62,4.23,7.45,5.98,6.93,5.52,6.85
Digital transformation from data science: A source of organizational agility,5.01,6.34,6.11,7.31,4.68,5.45,6.49,5.03,5.87
The emotional and social side of analytics professionals: an exploratory study of the behavioral profile of data scientists and data analysts,7.82,7.04,8.91,11.15,6.81,7.91,8.66,8.34,8.31
Solar Photovoltaic Modules’ Performance Reliability and Degradation Analysis—A Review,9.02,8.45,9.16,9.23,10.21,9.84,9.09,8.83,9.54
Bioprocessing 4.0 in biomanufacturing: paving the way for sustainable bioeconomy,5.01,14.08,6.36,8.85,7.45,7.03,8.23,5.64,7.82
Strategic Resource Allocation in Project Management: A Fusion of ERM and Financial Insights in the Financial Sector,7.01,11.27,9.16,9.62,8.94,7.56,7.79,6.87,6.36
Handbook of Price Impact Modeling,4.81,7.75,6.36,5.77,6.6,6.15,6.49,5.64,6.6
Manpower forecasting models in the construction industry: a systematic review,7.41,9.86,10.43,11.15,8.3,9.49,7.36,7.98,11.98
Data management within new product development and collaborative engineering: a bibliometric and systemic analysis,6.41,4.93,8.4,7.69,6.81,7.21,7.79,6.5,9.78
Business Value Creation Through Project Management Based on Big Data Approach,6.61,10.56,15.78,7.69,6.38,6.68,7.79,4.91,6.85
Bitcoin Price Forecasting and Trading: Data Analytics Approaches,6.61,7.04,7.12,6.54,6.17,7.38,5.63,5.89,10.27
Understanding project success involving analytic-based decision support in the digital era: a focus on IC and agile project management,8.42,12.68,10.69,14.23,8.72,8.08,9.52,7.85,13.45
E-Portfolio as a Component of the Information and Analytical System of Scientific Staff Training,4.61,7.75,7.63,5.0,5.32,6.5,7.36,5.15,5.38
"Essentials of Excel VBA, Python, and R: Volume II: Financial Derivatives, Risk Management and Machine Learning",4.81,3.52,4.07,4.23,4.89,5.27,5.19,4.05,5.13
Mapping business analytics skillsets with industries: empirical evidence from online job advertisements,7.21,7.75,7.38,8.08,8.09,4.75,8.23,5.28,6.6
Integrating Customer Portfolio Theory and the Multiple Sources of Risk Approaches to Model Risk-Adjusted Revenue,4.01,2.11,4.58,4.23,4.47,3.34,2.6,4.54,4.89
Constrained optimization algorithms for the computation of investable portfolios analytics: evaluation of economic-capital parameters for performance measurement and improvement,7.62,5.63,9.41,6.92,6.6,9.49,7.36,7.61,9.78
Verification and Validation for a Project Information Model Based on a Blockchain,4.61,5.63,6.62,6.54,6.17,5.45,6.06,5.64,5.38
Accelerating and Scaling Data Products with Serverless,5.81,6.34,7.89,9.23,8.09,7.91,7.36,6.63,7.33
Video Surveillance Architecture from the Cloud to the Edge,3.61,4.93,5.6,6.15,4.68,5.62,5.63,4.17,4.89
Responsible Knowledge Management in Energy Data Ecosystems,4.01,6.34,5.85,6.92,4.47,4.75,9.52,4.42,5.13
Enhanced Field Sustainable Oil Production Rate Forecast Using Integrated Asset Operating Model for Production Efficiency Improvement,10.82,9.86,12.98,11.92,9.79,8.79,12.99,7.85,10.51
Commercial office portfolio risks during the COVID pandemic and the future beyond – a survey of stakeholders in India,6.61,5.63,9.16,8.85,6.81,6.33,6.06,6.63,7.09
IT Controlling: From IT cost and activity allocation to smart controlling,4.01,3.52,4.33,5.0,4.26,4.22,6.06,3.93,2.93
Investigation of gender differences in familiar portfolio choice,3.01,2.11,5.09,5.0,3.62,4.39,2.16,4.05,6.6
Random walk through a stock network and predictive analysis for portfolio optimization,5.41,4.23,9.16,7.31,7.02,6.68,3.9,5.4,6.36
"2nd International Conference on Business Analytics for Technology and Security, ICBATS 2023",5.41,9.86,5.6,4.62,6.38,5.98,7.79,4.79,6.36
Special Session: Marketing Science at the Service of Innovative Startups and Vice Versa: An Abstract,8.22,14.79,9.41,8.46,8.51,8.44,7.36,7.61,10.02
Does a knowledge gap contribute to the performance gap? Interviews with building operators to identify how data-driven insights are interpreted,3.81,1.41,6.36,6.54,5.32,6.15,7.36,5.77,6.6
An Ameliorate Analysis of Cryptocurrencies to Determine the Trading Business with Deep Learning Techniques,6.41,7.75,7.12,6.54,5.96,5.98,6.93,5.15,8.8
All grown up? Market maturity and investment in London's purpose-built student accommodation sector,6.41,7.04,7.63,7.69,6.6,6.5,8.23,7.73,9.78
Exploring the social and technical factors in organisational AI adoption: A systematic literature review,7.21,9.15,7.38,9.23,6.6,6.85,8.66,5.15,7.09
Financial Portfolio Management Based on Shaped-Based Unsupervised Machine Learning: A Dynamic Time Warping Baycenter Averaging Approach to International Markets and Periods of Downside Event Risks,4.81,5.63,4.83,3.46,5.11,4.39,4.33,4.79,5.62
Process mining at Lufthansa CityLine: The path to process excellence,7.01,7.75,7.38,10.0,5.53,6.68,8.66,5.4,9.29
The National Coordinated Citrien eHealth Program to Scale Up Telemonitoring: Protocol for a Before-and-After Evaluation Study,8.22,9.86,9.16,10.0,8.51,8.08,9.52,7.36,9.05
Empirical risk assessment of maintenance costs under full-service contracts,4.01,6.34,6.11,5.77,5.96,5.98,4.76,4.91,5.13
SELF AS STORY: Meaning-Making and Identity Integration in Capstone ePortfolios,4.01,2.82,3.05,2.69,2.98,2.46,3.03,2.33,3.67
A sentiment analysis approach to the prediction of market volatility,4.61,4.93,4.33,4.23,6.17,5.1,3.03,4.42,5.62
ESG Controversies and Stock Returns,3.81,4.23,4.07,3.85,3.62,4.04,2.6,3.68,5.13
Introducing concepts: stairs of acceptance and project speciiic reputation score. Exploring public acceptance in three Finnish construction projects via large dataset media-analytics,6.41,11.27,7.89,7.31,6.81,6.68,7.36,5.52,7.33
Innovation Process of Hydrogen Fuel Cell Storage Technology Using the Theory of Inventive Problem Solving (TRIZ),4.01,4.23,4.83,6.54,4.04,4.04,6.06,4.29,5.38
Location-Based Tracking and Monitoring Infrastructural Construction Works by Using Business Intelligence Tool,6.01,9.15,6.87,6.15,6.38,5.45,7.36,5.28,7.09
Is artificial intelligence an enabler of supply chain resiliency post COVID-19? An exploratory state-of-the-art review for future research,7.01,7.75,8.91,8.08,5.74,6.33,8.66,6.99,9.05
AI human impact: toward a model for ethical investing in AI-intensive companies,5.21,3.52,6.11,5.38,5.11,4.22,4.76,3.93,6.11
"Essentials of Excel VBA, Python, and R: Volume I: Financial Statistics and Portfolio Analysis",5.01,3.52,4.33,4.62,4.89,5.45,5.19,4.05,5.38
A scientometric review of construction progress monitoring studies,6.21,6.34,7.63,7.31,7.23,6.5,8.23,6.5,8.56
Identifying poorly performing listed firms using data analytics,4.21,4.93,5.09,5.38,4.47,3.69,5.19,3.68,4.89
The impact of the COVID-19 crisis on global real estate capital flows,8.22,9.86,8.91,7.69,8.94,7.73,7.36,6.75,11.0
A Bayesian belief network predictive model for construction delay avoidance in the UK,5.41,4.93,5.85,6.54,6.17,6.33,6.93,6.26,8.56
Geological Risks and Resources-Based Portfolio Ranking and Completion Optimization by Areas: An Eagle Ford Case Study,7.01,7.75,7.89,8.46,7.66,6.33,6.06,6.5,8.8
Specialized Information System for Support of the Process of Recruiting Securities,4.61,7.04,5.85,4.62,4.89,4.92,6.93,4.91,6.85
Adoptation of Extended Metaheuristics Considering Risk-Allocated Portfolio Optimization,4.61,9.15,7.12,5.0,4.26,5.8,3.9,5.52,5.87
Project portfolio risk management. Bibliometry and collaboration Scientometric domain analysis,5.41,8.45,8.14,6.92,7.02,6.68,5.63,6.87,9.78
ML-FaaS: Toward Exploiting the Serverless Paradigm to Facilitate Machine Learning Functions as a Service,9.22,7.75,9.41,9.62,7.87,7.73,8.23,7.24,10.02
An Implementation of Support Vector Machine Classification for Developer Academy Acceptance Prediction Model,6.61,4.23,7.38,7.31,6.17,6.68,6.93,5.64,7.33
A Software Ecosystem for Project Management in BIM Environments Assisted by Artificial Intelligent Techniques,4.21,4.93,8.14,6.15,4.47,6.5,5.63,5.64,6.6
Total quality management (TQM) implementation in the Nigerian construction industry,7.41,11.97,9.16,10.38,8.94,8.61,9.09,8.22,10.76
Transformation of Software Project Management in Industry 4.0,7.82,9.86,10.43,9.23,7.02,8.08,7.79,7.12,10.27
Project management: openings for disruption from AI and advanced analytics,6.61,6.34,8.91,8.85,6.81,7.73,8.23,7.61,11.98
"Combining the best concepts of agile methods with concepts from predictive ones: applications of simulations, scenarios, and logic",2.81,3.52,3.56,4.62,3.4,3.87,3.9,3.68,4.89
Detecting environmental hotspots in extensive portfolios through LCA and data science: a use-case perspective,5.81,9.86,7.38,5.77,5.32,6.5,7.36,5.28,8.07
Risk-Based Approach to Predict the Cost Performance of Modularization in Construction Projects,8.82,9.15,10.69,10.0,8.94,9.14,10.82,7.73,11.25
Design of Brain Intelligence Framework for Water Traffic Management Integrating Multiple Spaces,5.61,8.45,3.56,5.77,4.26,3.34,5.63,3.93,4.4
Lateral Load Behavior of Unreinforced Masonry Spandrels,3.01,2.11,4.07,3.08,3.62,3.51,3.46,3.56,2.93
BI Solutions as a Tool for the Management of Quality of Company's Project Activities,5.01,7.04,4.83,6.54,4.47,4.92,5.63,3.19,4.65
Key investors and their strategies in the expansion of European student housing investment,3.81,2.82,4.07,3.08,2.98,3.51,3.9,3.93,4.16
LUSTRE: An Online Data Management and Student Project Resource,5.61,5.63,4.83,5.38,4.26,3.87,6.06,3.93,5.87
A FRAMEWORK FOR RANKING CRITICAL SUCCESS FACTORS OF BUSINESS INTELLIGENCE BASED ON ENTERPRISE ARCHITECTURE AND MATURITY MODEL,10.22,10.56,12.98,12.69,10.64,10.02,12.99,8.71,13.45
"Proceedings of the 2021 SIGCOMM 2021 Poster and Demo Sessions, Part of SIGCOMM 2021",2.61,2.82,2.8,0.77,2.55,2.99,1.73,2.58,2.44
Realizing Value from Digital Transformation: Benefits Management Re-imagined,12.83,14.79,13.23,18.46,11.28,13.36,18.18,10.92,14.43
The Professional Career Path; A Structured and Transparent Guide for Career Progression and Strengthening Professional In-House Capabilities,8.42,10.56,8.4,11.54,7.87,7.21,9.52,6.99,8.56
Artificial Intelligence Applications for Lending and NPA Management,6.61,4.93,7.63,6.54,5.96,6.85,5.19,6.01,6.85
Innovation in Business Intelligence Systems: The Relationship between Innovation Crowdsourcing Mechanisms and Innovation Performance,4.41,8.45,4.83,6.92,4.89,3.87,4.76,3.56,5.38
An analytics model for TelecoVAS customers’ basket clustering using ensemble learning approach,3.41,2.11,4.33,4.23,5.53,4.57,4.76,4.29,3.42
DMISTA: Conceptual Data Model for Interactions in Support Ticket Administration,5.61,8.45,8.4,8.85,7.87,6.85,8.23,5.03,5.62
Mapping Unmanned Aerial System Data onto Building Information Modeling Parameters for Highway Construction Progress Monitoring,6.21,7.04,8.14,8.85,7.45,6.85,8.66,6.01,7.82
Shareholder Structure of Major Technology Companies: A Graph Analytics Study during COVID-19 and Beyond,4.81,4.93,6.62,5.77,4.89,5.45,3.03,4.66,6.85
An analysis of pollution Citizen Science projects from the perspective of Data Science and Open Science,5.01,6.34,4.58,10.77,5.11,6.5,6.93,5.03,7.09
Accelerated FDP Reservoir Studies in Challenging Brownfields Utilizing Digital Could Technologies,9.42,11.97,11.7,10.0,9.57,9.84,6.49,7.85,11.74
Assessment of process capabilities in transition to a data-driven organisation: A multidisciplinary approach,7.82,5.63,8.65,10.38,7.45,7.03,8.23,6.63,9.78
The Digitally Transformative U-WISE Software Technology,7.62,4.23,7.12,6.92,7.66,7.73,8.66,6.38,8.56
"Well Portfolio Optimisation: Accelerating Generation of Well Intervention Candidates with Automated Analytics and Machine Learning - A Case Study from Attaka Field, Indonesia",11.02,9.15,10.18,13.08,8.51,10.9,10.82,8.34,11.98
Portfolio - a tool for making learning and competence development visible; [Portföljen synliggör lärandet och kompetensutvecklingen],2.61,1.41,2.54,2.69,2.13,3.16,2.6,1.72,2.44
Multi-factor dependence modelling with specified marginals and structured association in large-scale project risk assessment,5.41,7.04,6.87,4.62,6.6,6.33,6.49,6.26,7.09
Transforming Insurance Business with Data Science,5.21,5.63,4.33,5.0,4.47,4.75,4.76,3.93,6.11
Reducing the Total Product Cost at the Product Design Stage,6.41,7.75,8.4,8.85,7.23,7.91,7.36,6.5,10.02
A computational approach to evaluating curricular alignment to the united nations sustainable development goals,6.21,4.23,4.07,5.77,5.53,7.38,7.36,6.26,6.36
A model utilizing the artificial neural network in cost estimation of construction projects in Jordan,5.41,5.63,6.62,6.15,7.23,6.85,7.79,5.03,6.85
Health information exchange as a profession,4.81,4.23,4.33,4.62,3.4,5.27,5.19,3.68,4.89
A Comparative Study of Deep Neural Network and Statistical Models for Stock Price Prediction,5.41,3.52,7.89,5.0,7.45,5.27,4.33,4.54,5.87
Data-driven decision making with Blockchain-IoT integrated architecture: a project resource management agility perspective of industry 4.0,8.42,8.45,9.16,9.23,8.09,7.56,10.82,5.52,9.54
Applying petri-net to construct knowledge graphs for adaptive learning diagnostics and learning recommendations,11.82,11.27,14.76,13.46,15.11,14.76,15.15,12.64,14.91
Optimal Well Designs and Process Frameworks: Keys to Reducing Well Cost and Winning in any Environment,7.01,9.15,9.41,7.31,8.72,8.08,6.49,5.77,9.05
"Learning from What We Do, and Doing What We Learn: A Learning Health Care System in Action",5.61,6.34,7.12,8.08,6.17,6.5,9.09,6.38,7.82
A Nash bargaining solution for a multi period competitive portfolio optimization problem: Co-evolutionary approach,6.81,7.04,9.41,6.92,8.3,7.73,6.06,6.63,7.82
Asymptotic theory of principal component analysis for time series data with cautionary comments,2.81,1.41,2.04,2.69,3.83,1.93,1.73,3.07,3.67
"Optimization of Regulatory Economic-Capital Structured Portfolios: Modeling Algorithms, Financial Data Analytics, and Reinforcement Machine Learning in Emerging Markets",5.01,4.93,5.6,3.85,4.04,5.62,5.19,4.91,5.13
From Stream Flows to Cash Flows: Leveraging Evolutionary Multi-Objective Direct Policy Search to Manage Hydrologic Financial Risks,8.02,7.75,10.94,10.38,9.36,8.61,10.82,7.61,9.78
Automation and Digitalization of Polymerflood Viscosity Surveillance Through Machine Learning- A Case Study from Marmul,7.21,7.04,7.38,6.92,7.23,7.03,6.06,4.79,9.05
Financial Network Connectedness and Systemic Risk During the COVID-19 Pandemic,1.8,1.41,3.05,2.69,2.77,3.16,1.73,2.45,2.93
Developing strategies to prioritise and mitigate the risks occurring in project management practices for an agile organisation - a perspective of Industry 4.0 technologies,5.81,4.93,5.85,8.46,5.74,6.15,6.49,4.29,6.11
Rule-Based Classification Based on Ant Colony Optimization: A Comprehensive Review,6.01,7.75,8.4,5.0,6.6,6.68,6.93,6.13,8.56
Machine learning and optimization based decision-support tool for seed variety selection,9.82,11.97,9.92,9.62,9.79,9.67,9.09,9.33,10.51
Laplacian Echo-State Networks for production analysis and forecasting in unconventional reservoirs,7.01,7.04,6.87,5.77,9.36,8.26,6.93,6.01,7.58
Developing a framework for evaluating construction project safety levels and optimal cost allocation to safety influential factors,5.61,4.93,8.14,6.15,8.51,7.38,7.79,6.99,8.8
Amelioration of Big Data Analytics by Employing Big Data Tools and Techniques,3.61,4.93,4.33,2.31,4.47,4.75,5.63,3.31,3.91
A Novel Modeling Technique for the Forecasting of Multiple-Asset Trading Volumes: Innovative Initial-Value-Problem Differential Equation Algorithms for Reinforcement Machine Learning,7.41,7.04,7.89,6.15,6.6,7.73,8.23,6.87,8.56
Estimation with uncertainty via conditional generative adversarial networks,4.01,3.52,4.83,3.46,4.89,4.92,3.03,4.66,4.89
Deep-learning-based visual data analytics for smart construction management,4.01,2.11,5.6,3.46,4.89,4.75,5.63,4.17,5.38
Professional Development of a Production & Facilities Generalist as a Jack-of-All-Trades,10.22,10.56,10.43,8.08,8.3,7.21,8.66,6.26,9.78
Maximum drawdown distributions: The cross-asset dimension,2.61,4.23,2.54,4.23,3.19,3.16,2.16,3.8,4.4
A Fuzzy Prescriptive Analytics Approach to Power Generation Capacity Planning,6.41,10.56,8.65,6.54,7.23,7.21,6.93,5.64,9.05
"28th International Conference Systems Engineering, ICSEng 2021",6.21,10.56,9.92,6.15,8.51,7.73,7.36,6.87,8.07
Predicting Under- and Overperforming SKUs within the Distribution–Market Share Relationship,4.01,4.23,3.56,5.0,4.26,4.22,4.76,3.68,3.91
A Novel Implementation of Siamese Type Neural Networks in Predicting Rare Fluctuations in Financial Time Series,4.21,3.52,5.85,5.0,5.11,5.1,6.49,4.91,5.38
AHP–TOPSIS methodology for stock portfolio investments,3.61,4.23,5.6,5.77,4.47,4.92,3.9,4.42,6.6
Analyzing a Data Science Online Practitioner Community: Trends and Implications for Data Science Project Management,4.21,2.82,4.33,4.62,4.26,4.57,4.33,4.17,5.87
Forecasting Undergraduate Majors: A Natural Language Approach,4.61,2.82,3.82,4.23,4.47,3.87,5.63,3.68,5.62
Selecting advanced analytics in manufacturing: a decision support model,6.41,7.04,8.65,8.08,7.45,8.08,7.36,6.13,8.8
Human resource analytics: a review and bibliometric analysis,4.21,2.82,7.89,6.15,5.53,5.27,6.49,5.15,7.58
Dynamic Stop-Loss Approach for Short Term Trades using Deep Learning,7.82,7.04,6.36,8.85,7.66,6.68,6.49,6.63,7.09
Agile supply chain analytic approach: a case study combining agile and CRISP-DM in an end-to-end supply chain,5.61,6.34,6.36,6.15,5.11,5.27,6.49,4.91,6.6
An Empirical Analysis of Risk Similarity among Major Transportation Projects Using Natural Language Processing,5.01,4.23,6.87,5.0,5.53,6.33,5.19,5.52,5.87
"Digital Control Tower - Instantaneous Visibility, Granularity and Decision Support for an LNG Mega Project",10.02,7.75,12.21,10.77,8.94,10.02,11.26,8.1,9.29
Wine Analytics: Futures or Bottles?,4.81,3.52,4.58,4.62,4.68,5.27,2.6,3.8,5.38
Smart Project Management System (SPMS) - An Integrated and Predictive Solution for Proactively Managing Oil & Gas client Projects,12.83,11.97,13.49,13.46,11.06,13.01,11.69,10.67,12.71
Identification of the Barriers to Data-Centric Approach in the Construction Industry,5.21,6.34,6.62,7.31,6.17,5.98,5.63,5.28,7.09
Lessons learned from the impact of COVID-19 on the global construction industry,5.41,11.27,5.85,7.31,6.17,7.03,7.36,5.64,8.56
Neuro-fuzzy system based model for prediction of project performance in downstream sector of petroleum industry in Iran,6.61,6.34,9.41,8.08,8.09,7.56,7.36,6.13,8.8
ACCEPTANCE OF CONTEMPORARY TECHNOLOGIES FOR COST MANAGEMENT OF CONSTRUCTION PROJECTS,5.01,7.75,6.87,5.0,7.02,6.5,8.66,4.54,6.6
A Study on Operational Risk and Credit Portfolio Risk Estimation Using Data Analytics*,4.61,4.23,5.6,3.85,5.53,6.85,5.63,5.4,5.87
System and Method on Order Management Using Neural Networks and Risk Modeling,5.21,3.52,6.11,5.77,6.38,5.62,6.93,4.42,5.38
Modeling of Optimal Credit Limits in Microfinance Organizations; [Моделирование оптимальных кредитных лимитов в микрофинансовых организациях],6.41,6.34,8.65,6.92,7.45,7.56,6.49,7.36,8.31
IBTIKAR Digital Lab - A Collaborative Approach towards Research and Development Challenges in Oil and Gas Upstream,12.02,13.38,12.72,13.46,11.91,11.95,14.29,9.82,12.71
Severity Prediction of Construction Site Accidents Using Simple and Ensemble Decision Trees,5.01,6.34,7.38,5.38,6.6,5.98,5.19,6.38,6.36
Digital Twin and Big Data Technologies Benefit Oilfield Management,9.62,7.04,11.45,10.77,11.06,9.84,9.96,7.73,9.78
Blockchain-Based Methodology for Collaborative Risk Assessment,4.61,7.04,6.36,5.38,5.32,6.5,6.06,5.03,6.6
Empowering the Workforce of the Future Through Strategic Data Science Framework to Demystify Digitalization in ADNOC Onshore to Create Sustainable Business Value,12.22,11.97,13.49,10.38,11.7,11.25,10.82,8.83,14.67
Risk Management in Analytics Solutions Integration and Deploy: Case Study in a Brazilian Financial Institution,4.61,8.45,7.89,6.92,5.53,7.21,6.06,6.5,7.09
Leveraging the industry 4.0 technologies for improving agility of project procurement management processes,7.82,6.34,9.41,12.69,6.81,7.21,12.55,6.38,9.54
Predicting the Defects using Stacked Ensemble Learner with Filtered Dataset,6.41,7.04,7.12,5.77,7.66,6.85,3.9,6.13,7.09
Revamping construction supply chain processes with circular economy strategies: A systematic literature review,8.42,12.68,12.47,9.62,10.21,10.02,13.85,8.71,10.76
Power BI in ICT for Monitoring of Insurance Activity Based on Indicators of Insurance Portfolios,5.21,6.34,7.38,6.92,6.6,4.92,6.06,4.79,5.38
Software Analytics Tools: An Intentional View,4.01,2.82,6.36,5.0,4.47,4.57,5.19,3.56,3.18
Predicting Project Outcomes with the Association of Project Management,32.26,6.34,8.4,9.23,8.51,7.73,6.06,6.75,9.78
A Data-driven project categorization process for portfolio selection,7.82,7.75,7.89,8.85,7.45,9.14,11.26,11.41,9.29
Data to Value: An ‘Evaluation-First’ Methodology for Natural Language Projects,2.61,1.41,4.58,2.31,3.4,4.04,4.33,3.44,3.42
Population Health: Identifying Skill Sets and Education Alignment for HIM Professionals,4.21,1.41,4.58,3.46,3.4,2.99,5.19,2.7,3.42
STATISTICAL TOOLS AND THEIR IMPACT ON PROJECT MANAGEMENT HOW THEY RELATE,4.61,5.63,6.87,3.08,5.74,4.92,4.76,3.8,4.89
Practical and Open Source Best Practices for Ethical Machine Learning,4.61,2.82,3.31,5.0,3.19,5.45,2.6,4.54,4.89
Toward Global Food Security: Transforming OCP Through Analytics,7.01,7.04,5.6,7.31,6.17,4.92,6.06,5.15,8.31
Leveraging machine learning to detect data curation activities,5.41,7.75,5.09,6.54,6.38,5.45,5.19,3.8,5.13
