,Title,Abstract,Criterios,Words,category_id
10,Unified business intelligence ecosystem: A project management approach to address business intelligence challenges,"The purpose of this paper is to explore a concept that improves the success rate of Business Intelligence projects by looking at it as an ecosystem rather than standalone project. This paper discusses the importance on Business Intelligence (BI) initiatives and today's challenges in implementing them. The concentration is on using proven practices of project management to reduce the failure rates of the Business Intelligence projects by evaluating currently existing Information Technology (IT) project process, Business Intelligence frameworks and a Project Vulnerability process in order to adopt some of the best project management practices that works for Business Intelligence projects. The paper studies currently existing processes and introduces a new concept which henceforth will be termed as 'Unified Business Intelligence Ecosystem' framework (UBIE). This research is based on various project management frameworks, those are proven to increase the efficiency of projects, and far-ranging sources of research on nature of Business Intelligence projects, personal observations and real-world Business Intelligence consulting experience. Research limitations/implications: Business Intelligence is a constantly developing field. Partial standardization and extensive availability and access to Business Intelligence resources has created many definitions and buzz words in the industry. The assumptions described in this research might seem arguable given the reader's experience in this field. Originality/value: The paper presents a different perspective to view and manage Business Intelligence projects. It encourages to interpret Business Intelligence projects as an ecosystem by combining technical, business and management aspect rather than separate, standalone entity. The aim of this research paper is to achieve Business Intelligence success by customizing Project Management (PM) practices to fit the unique need of Business Intelligence projects. Acronyms Business Intelligence-BI Project Management-PM Data Science-DS Information technology-IT Unified Business Intelligence Ecosystem-UBIE Responsibility, Accountability, Consulted, Informed-RACI. © 2018 Portland International Conference on Management of Engineering and Technology, Inc. (PICMET). Unified business intelligence ecosystem: A project management approach to address business intelligence challenges",Manejo de valor,  explore concept improves success rate business intelligence  looking ecosystem rather standal   discus importance business intelligence  initiative today challenge implementing concentration using proven practice   reduce failure rate business intelligence  evaluating   information technology  process business intelligence frame  vulnerability process  adopt best   practice  business intelligence   study   process introduces  concept henceforth termed unified business intelligence ecosystem frame ubie research based various   frame proven increase efficiency  farranging source research nature business intelligence  personal observation realworld business intelligence consulting experience research limitationsimplications business intelligence constantly developing field partial standardization extensive availability access business intelligence resource created many definition buzz word industry assumption described research might seem arguable given reader experience field originalityvalue  present different perspective view manage business intelligence  encourages interpret business intelligence  ecosystem combining technical business  aspect rather separate standal entity  research  achieve business intelligence success customizing    practice  unique  business intelligence  acronym business intelligencebi    scienceds information technologyit unified business intelligence ecosystemubie responsibility accountability consulted informedraci portland international conference  engineering technology  picmet unified business intelligence ecosystem    address business intelligence challenge,1
11,Simulation of adaptive project management analytics,"Typically, IT projects are delivered over-budget and behind schedule. In this paper, we explore the effects of common project management practices that contribute to these problems and suggest a better alternative that can utilize resources more effectively. Our alternative approach uses (a) a thorough analysis of risks affecting activities in a project plan (i.e., the root factors leading to cost and time overruns), and (b) an optimization of the resources allocated to each activity in the project plan to maximize the probability of on time and within budget project completion. One key feature of our method is its capability to adapt and learn the risk factors affecting activities during the course of the project, enabling project managers to reallocate resources dynamically to ensure a better outcome given the updated risk profile. We use simulations to test the performance of our optimization algorithm and to gain insights into the benefits of adaptive re-planning. © 2007 IEEE. Simulation of adaptive project management analytics",Manejo de riesgo,typically  delivered overbudget behind schedule  explore effect common   practice contribute problem suggest better alternative utilize resource effectively alternative   thorough analysis risk affecting   plan  root factor leading cost  overrun  optimization resource allocated   plan maximize probability   budget  completion   feature method capability adapt learn risk factor affecting  course  enabling  manager reallocate resource dynamically ensure better outcome given updated risk profile  simulation test performance optimization algorithm gain insight benefit adaptive replanning ieee simulation adaptive   analytics,2
12,A survey study of success factors in data science projects,"In recent years, the data science community has pursued excellence and made significant research efforts to develop advanced analytics, focusing on solving technical problems at the expense of organizational and socio-technical challenges. According to previous surveys on the state of data science project management, there is a significant gap between technical and organizational processes. In this article we present new empirical data from a survey to 237 data science professionals on the use of project management methodologies for data science. We provide additional profiling of the survey respondents' roles and their priorities when executing data science projects. Based on this survey study, the main findings are: (1) Agile data science lifecycle is the most widely used framework, but only 25% of the survey participants state to follow a data science project methodology. (2) The most important success factors are precisely describing stakeholders' needs, communicating the results to end-users, and team collaboration and coordination. (3) Professionals who adhere to a project methodology place greater emphasis on the project's potential risks and pitfalls, version control, the deployment pipeline to production, and data security and privacy. © 2021 IEEE. A survey study of success factors in data science projects",Manejo de valor,recent year  science community pursued excellence made significant research effort develop advanced analytics focusing solving technical problem expense  sociotechnical challenge according previous survey state  science   significant  technical  process article present  empirical  survey  science professional    methodology  science provide additional profiling survey respondent  priority executing  science  based survey study main finding agile  science lifecycle widely  frame survey participant state follow  science  methodology important success factor precisely describing stakeholder  communicating result endrs team collaboration coordination professional adhere  methodology place greater emphasis  potential risk pitfall version control deployment pipeline production  security privacy ieee survey study success factor  science ,1
13,Paradise by the dashboard light: Designing governance metrics in turbulent environments,"One of the emerging sweet-spots in business intelligence (BI) and business performance management (BPM) projects is the design of metrics (dashboards) in such a way that they balance the need for ""inward focused"" operational management with the need for ""outward-focused"" strategic management. Unfortunately, hitting this sweet spot often proves to be a difficult process, particularly in more turbulent environments. This article aims to understand the forces at work in the design process of these metrics using two starkly contrasting case studies involving the design of dashboards for IT departments, specifically for IT governance which concerns the alignment between business and IT. The first case explores metrics design for an organization with low external and high internal turbulence (a German insurance company), the second contrasting case focuses on a similar metrics design process but now for an organization facing low internal turbulence and high external turbulence (an African national government). Our findings suggest how the source of project turbulence impacts the success of the metrics design process, the bias towards more inward-focused or outward-focused metrics, and the overall outcomes of the project. © 2012 IEEE. Paradise by the dashboard light: Designing governance metrics in turbulent environments",Manejo de gobernanza, emerging sweetspots business intelligence  business performance    design metric dashboard  balance  inward  operational   outwardfoc strategic  unfortunately hitting sweet spot often prof difficult process particularly turbulent environment article  understand force  design process metric using  starkly contrasting case study involving design dashboard department specifically governance concern alignment business  case explores metric design   external high internal turbulence german insurance company second contrasting case focus similar metric design process  facing  internal turbulence high external turbulence african national government finding suggest source  turbulence impact success metric design process bias  inwardfoc outwardfoc metric overall outcome  ieee paradise dashboard light designing governance metric turbulent environment,3
14,"Determinants of the use of predictive models in the management of investment portfolios, on the example of KGHM Polska Miedz S.A.","The authors present the determinants of the use of predictive analysis to support decision-making processes in the area of investment project portfolio management. The requirements are analyzed on the example of investment project portfolios of a mining company. The research is complemented by the description of already conducted tests, where predictive models have been created to determine most effective algorithms and key project attributes allowing to predict possible budget deviations. The proposed requirements for the implementation of the predictive analysis can be applied in other organizations managing projects according to project management methodologies with access to structured project data. © 2022 The Authors. Published by Elsevier B.V. Determinants of the use of predictive models in the management of investment portfolios, on the example of KGHM Polska Miedz S.A.",Otros,author present determinant  predictive analysis support decision process area investment    requirement analyzed example investment   mining company research complemented description already conducted test predictive model created determine effective algorithm   attribute allowing predict possible budget deviation proposed requirement implementation predictive analysis applied  managing  according   methodology access structured   author published elsevier  determinant  predictive model  investment  example kghm polska miedz ,4
15,Big data dreams: A framework for corporate strategy,"The phenomenon of big data—large, diverse, complex, and/or longitudinal data sets—is having a stark influence on organizational strategy making. An increase in levels of data and technological capabilities is redefining innovation, competition, and productivity. This article contributes to both practical strategic application and academic research in the strategic management domain by presenting a framework that identifies how big data improves functional capabilities within organizations, shapes entirely new industries, and is a key component of innovative and disruptive strategies used by learning organizations to diversify and break down barriers of traditionally defined industries. This framework provides an appropriate basis for internal corporate strategy discussions that surround big data investments by explaining how firms create value through various approaches. In addition, we offer guidance for how firms might derive their own big data approach through the merits of aligning data strategy aspirations with data strategy authenticity. © 2017 Kelley School of Business, Indiana University Big data dreams: A framework for corporate strategy",Alineamiento estatégico,phenomenon big large diverse complex andor longitudinal  setsis stark influence  strategy  increase level  technological capability redefining innovation competition productivity article contributes practical strategic application academic research strategic  domain presenting frame identifies big  improves functional capability   shape entirely  industry  compnt innovative disruptive strategy  learning  diversify break barrier traditionally defined industry frame provides appropriate basis internal corporate strategy discussion surround big  investment explaining firm create value various  addition offer guidance firm might derive big   merit aligning  strategy aspiration  strategy authenticity kelley school business indiana university big  dream frame corporate strategy,0
16,Risks of Data Science Projects - A Delphi Study,"Risk is one of the most crucial components of a project. Its proper evaluation and treatment increase the chances of a project's success. This article presents the risks in Data Science projects, assessed through a study conducted with the Delphi technique, to answer the question, ""What are the risks of Data Science projects"". The study allowed the identification of specific risks related to data science projects, however it was possible to verify that over a half of the most mentioned risks are similar to other types of IT projects. This paper describes the research from expert selection, risk identification and analysis, and the first conclusions. © 2021 Elsevier B.V. All rights reserved. Risks of Data Science Projects - A Delphi Study",Manejo de riesgo,risk  crucial compnt  proper evaluation treatment increase chance  success article present risk  science  assessed study conducted delphi technique answer question risk  science  study allowed identification specific risk   science  however possible verify half mentid risk similar type   describes research expert selection risk identification analysis  conclusion elsevier  right reserved risk  science  delphi study,2
17,Predicting Project Outcomes with the Association of Project Management,"Project professionals place great value in accurately predicting project outcomes. Itis therefore unsurprising that there has been a rapid acceptance of a new suite of tools promising to forecastproject outcomes better than ever before. Within a few years the use of project data analytics has become widespread throughout project delivery organisations; they have become the norm. Most closely associated with dashboards,project data analytics is transforming projects' ability to see problems sooner and act quicker. Project data analytics however has not yet been 'professionalised'. No single organisation has yet solved how to holistically get the very best out of analytics to deliver more predictable projects, but many are trying across multiple industries. Some organisations have great solutions and ideas, but itis not yet encoded in how the profession delivers. Petrofac as part of the Project Data Analytics Task Force [1&2], a cross industry working group, have collaborated with the Association of Project Management (APM) [3] to publish a ground-breaking guide[4] designed to help project delivery organisations get started in project data analytics. In addition, a five step framework*is offered which is designed for project delivery organisations who are further long their journey with analytics. This framework recommends the steps organisations can take to improve their project predictability from basic systems, through to dashboards and onto machine learning and artificial intelligence. It also references the capabilities organisations need to consider forthe benefits to become embedded. The paper explores how superior project performance is best achieved when project data analytics is blended with the insights and actions our people bring to delivering projects; to improve resultsthis blend of data and people is noted as being essential. The paper highlights this as the most significant factor as to why data analytics programmesmay not bring the value organisations expect and why step 4 (automated performance) of the model is seen as the pivot to success. On realisation of step 5 (intelligent performance), an organisation would be expected to have embraced the market leading approaches to maximising project performance and be well placed to achieve market leading returns on investment and margin. The paper advocates that organisations should: • Adopt a 3-click rule to project information • Send the right action, to the right person, at the right time • Blend human and data insights by quantifying perceptions and makinginsights actionable • Automate Project Data Analytics into the working rhythm of project delivery This paper is deliberately aimed at the project professional and not the data science community. It simplifiesthe typical technical jargon around analytics and provides a wide variety of examples, tips and graphics that the project professional can easily relate to. *For clarity, the five step framework is solely the work of Petrofac and no third party organisation has either been asked to comment on or endorse this. No direct link should be inferred between the Petrofac framework and the Association of Project Management, the only connection is the author's involvement in both. Copyright © 2022, Society of Petroleum Engineers. Predicting Project Outcomes with the Association of Project Management",Otros, professional place great value accurately predicting  outcome itis therefore unsurprising rapid acceptance  suite tool promising forecast outcome better ever  year    analytics become widespread throughout  delivery organisation become norm closely associated dashboard   analytics transforming  ability  problem   quicker   analytics however  professionalised single organisation  solved holistically  best analytics deliver predictable  many trying across multiple industry organisation great solution idea itis  encoded profession delivers petrofac part   analytics task force cross industry  group collaborated association    publish groundbreaking guide designed   delivery organisation  started   analytics addition five step frame offered designed  delivery organisation long journey analytics frame recommends step organisation take improve  predictability basic system dashboard onto machine learning artificial intelligence  reference capability organisation  consider forthe benefit become embedded  explores superior  performance best achieved   analytics blended insight action people bring delivering  improve resultsthis blend  people noted essential  highlight significant factor  analytics programmesmay bring value organisation expect step automated performance model seen pivot success realisation step intelligent performance organisation would expected embraced market leading  maximising  performance well placed achieve market leading return investment margin  advocate organisation adopt 3click rule  information send right action right person right  blend human  insight quantifying perception insights actionable automate   analytics  rhythm  delivery  deliberately   professional  science community simplifiesthe typical technical jargon around analytics provides wide variety example  graphic  professional easily relate clarity five step frame solely  petrofac third party organisation either asked comment endorse direct link inferred petrofac frame association   connection author involvement copyright society petum engineer predicting  outcome association  ,4
18,A framework for big data integration within the strategic management process based on a balanced scorecard methodology,"The purpose of this research is to study the impact of big data initiatives on strategic management processes. While the majority of strategic management disciplines have had research dedicated to the use of strategic management theories to understand how big data affect organizational performance, the body of research on big data lacks academic work capable of examining how to integrate big data into the strategic management process. The main contributions of this work are: (1) it highlights the strategic use of big data; (2) it analyses the main frameworks/models proposed by scholars that support the use of big data as a strategic management tool, and outlines this research gap; and (3) it proposes a new framework that integrates big data within the strategic management process based on a balanced scorecard methodology. © 2021 A framework for big data integration within the strategic management process based on a balanced scorecard methodology",Alineamiento estatégico, research study impact big  initiative strategic  process majority strategic  discipline research dedicated  strategic  theory understand big  affect  performance body research big  lack academic  capable examining integrate big  strategic  process main contribution  highlight strategic  big  analysis main framesmodels proposed scholar support  big  strategic  tool outline research  proposes  frame integrates big   strategic  process based balanced scorecard methodology frame big  integration  strategic  process based balanced scorecard methodology,0
19,Integrating a Project Risk Model into a BI Architecture,"In today’s unpredictable and disruptive business landscape organizations face challenges that severely threatens their existence. To efficiently respond such challenges organizations must craft strategies to become more data-informed, agile, adaptative, and flexible. Integrating dynamic data analytical models in organizational structures to collect, analyze and interpret business data, is critical to organizations because it enables them to make more data-informed decisions and reduce bias in decision-making. In this work is illustrated the integration of a heuristic project risk-model used to identify project critical success factors into a typical organizational business intelligence architecture. The proposed integration enables organizations to efficiently and in a timely manner identify project collaborative risks by addressing people, environment, and tools, and generate actionable project-related knowledge that helps organizations to efficiently respond business challenges and achieve sustainable competitive advantages. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG. Integrating a Project Risk Model into a BI Architecture",Alineamiento estatégico,today unpredictable disruptive business landscape  face challenge severely threatens existence efficiently respond challenge  must craft strategy become informed agile adaptative flexible integrating dynamic  analytical model  structure collect analyze interpret business  critical  enables  informed decision reduce bias decision  illustrated integration heuristic  riskmodel  identify  critical success factor typical  business intelligence architecture proposed integration enables  efficiently  manner identify  collaborative risk addressing people environment tool generate actionable  knowledge   efficiently respond business challenge achieve sustainable competitive advantage author exclusive license springer nature switzerland  integrating  risk model  architecture,0
20,Big Data in Portfolio Allocation: A New Approach to Successful Portfolio Optimization,"In the classic mean-variance portfolio theory as proposed by Harry Markowitz, the weights of the optimized portfolios are directly proportional to the inverse of the asset correlation matrix. However, most contemporary portfolio optimization research focuses on optimizing the correlation matrix itself, and not its inverse. In this article, the author demonstrates that this is a mistake. Specifically, from the Big Data perspective, she proves that the inverse of the correlation matrix is much more unstable and sensitive to random perturbations than is the correlation matrix itself. As such, optimization of the inverse of the correlation matrix adds more value to optimal portfolio selection than does optimization of the correlation matrix. The author further shows the empirical results of portfolio reallocation under different common portfolio composition scenarios. The technique outperforms traditional portfolio allocation techniques out of sample, delivering nearly 400% improvement over the equally weighted allocation over a 20-year investment period on the S&P 500 portfolio with monthly reallocation. In general, the author demonstrates that the correlation inverse optimization proposed in this article significantly outperforms the other core portfolio allocation strategies, such as equally weighted portfolios, vanilla mean-variance optimization, and techniques based on the spectral decomposition of the correlation matrix. The results presented in this article are novel in the data science space, extend far beyond financial data, and are applicable to any data correlation matrixes and their inverses, whether in advertising, healthcare, or genomics. © 2019 Pageant Media Ltd. Big Data in Portfolio Allocation: A New Approach to Successful Portfolio Optimization",Alineamiento estatégico,classic meanvariance  theory proposed harry markowitz weight optimized  directly proportional inverse asset correlation matrix however contemporary  optimization research focus optimizing correlation matrix inverse article author demonstrates mistake specifically big  perspective prof inverse correlation matrix much unstable sensitive random perturbation correlation matrix optimization inverse correlation matrix  value optimal  selection optimization correlation matrix author show empirical result  reallocation different common  composition scenario technique outperforms traditional  allocation technique sample delivering nearly improvement equally weighted allocation 20year investment period   monthly reallocation general author demonstrates correlation inverse optimization proposed article significantly outperforms core  allocation strategy equally weighted  vanilla meanvariance optimization technique based spectral decomposition correlation matrix result presented article novel  science space extend  beyond financial  applicable  correlation matrix inverse whether advertising healthcare genomics pageant medium  big   allocation   successful  optimization,0
21,Critical Success Factors of Business Intelligence Systems Implementation,"Business intelligence (BI) systems enable rapid decision-making in an era of big data and constantly evolving market dynamics. Yet, the majority of BI implementation efforts fail to deliver productive outcomes. We use a technical, organizational, and process perspective to identify significant criteria that contribute to successful implementation. A taxonomy of perspectives, criteria, and factors is introduced. This work provides insights into developing a decision model to support successful BI implementation.  © 1973-2011 IEEE. Critical Success Factors of Business Intelligence Systems Implementation",Manejo de valor,business intelligence  system enable rapid decision  big  constantly evolving market dynamic  majority  implementation effort fail deliver productive outcome  technical  process perspective identify significant criterion contribute successful implementation taxonomy perspective criterion factor introduced  provides insight developing decision model support successful  implementation 19732011 ieee critical success factor business intelligence system implementation,1
22,Improving Project Control by Utilizing Predictive Data Analytic Models,"Project progress is an apprehension for every project, as it indicates how the project is likely to meet the associated milestones. Utilizing collected data from archived projects can assist managers to envisage project progress. By leveraging the power of data analytics, this research attempts to highlight data trends based on data collected from 279 infrastructure projects in the UAE. Specifically, this research rigorously analyses the relationships between project budget, duration, and progress using K-means clustering techniques and hypothesis testing. We then provide predictive models using Autoregressive Integrated Moving Average - ARIMA and Multivariate regression models that allow managers to predict with a 99.15% accuracy the monthly progress of an infrastructure project over the next 3 months. This research paper provides project managers with a comprehensive framework that combines data analytics techniques with agility practices to predict short term project progress in order to take proactive measures on the different influencing factors.  © IEEE 2022. Improving Project Control by Utilizing Predictive Data Analytic Models",Monitoreo y control de portafolio, progress apprehension every  indicates  likely meet associated milest utilizing collected  archived  assist manager envisage  progress leveraging power  analytics research attempt highlight  trend based  collected infrastructure   specifically research rigorously analysis relationship  budget duration progress using kmeans clustering technique hypothesis testing provide predictive model using autoregressive integrated moving average arima multivariate regression model allow manager predict 9915 accuracy monthly progress infrastructure  next month research  provides  manager comprehensive frame combine  analytics technique agility practice predict short term  progress  take proactive measure different influencing factor ieee improving  control utilizing predictive  analytic model,5
23,Using analytics to predict project management success,"IT projects normally face time and cost overruns challenges. Predicting which projects will not be completed by the expected end date (time overrun) and within the allotted number of hours (man-hours overrun) helps manage company's employee utilization and avoids overscheduling. This study applied a data analytics framework on IT project management dataset to predict the project completion time and overruns (in man-hours). We used linear regression and classification models to predict projects' performance and analyze the underlying factors causing project delay. Our predictive analysis used 131 variables which included 536 tasks, 138 resources, 69371 employee hours, 72 contractors that were assigned to 434 projects. We also calculated two new variables closeness and betweenness among project team members. Results showed that Decision Tree outperformed SVM, ANN, LDA, and logistic regression in predicting man-hours overrun. In addition, preliminary Social Network Analysis (SNA) indicates that Average-closeness and Average-betweenness did not improve prediction on the overall amount of time and man-hours overrun but improve the prediction on time overrun, but task, resource and contractor assignments variables were significant at p-value of .01. The models we used helps identify key predictors of project performance and provide insights into the company's resource management.  Using analytics to predict project management success",Monitoreo y control de portafolio, normally face  cost overrun challenge predicting  completed expected  date  overrun  allotted number hour manhours overrun  manage company employee utilization avoids overscheduling study applied  analytics frame    predict  completion  overrun manhours  linear regression classification model predict  performance analyze underlying factor causing  delay predictive analysis  variable included task resource employee hour contractor assigned   calculated   variable closeness betweenness among  team member result showed decision tree outperformed    logistic regression predicting manhours overrun addition preliminary social  analysis  indicates averagecloseness averagebetweenness improve prediction overall amount  manhours overrun improve prediction  overrun task resource contractor assignment variable significant pvalue 01 model   identify  predictor  performance provide insight company resource  using analytics predict   success,5
24,Risk assessment of innovative projects: Development of forecasting models,"The purpose of this article is development a systematic dynamic complex model of generation and risk assessment of innovative project, on the bases of which a scenario modeling of many risks influence arising at certain stages of project implementation in the target area. For article purpose realization, the paper proposes a complex toolkit for modeling the innovative projects risks in the direction of their impact on performance indicators in scenarios, which involves the implementation of the following stages of modeling: Stage 1. Collection and processing of project data; Stage 2. Evaluation of innovation project efficiency indicators; Stage 3. Formation and assessment of many risks of innovation project by components, nature and impact strength; Stage 4. Modeling of innovative project development scenarios. The implemented set of models makes possible to compare all components of efficiency and riskiness, which determine the integrated aggregate level of project risk by components of life cycle risks, target project risks and scenarios depending on environmental factors and managers propensity to take risks, and solves the problem of positioning the real indicators state of innovation project efficiency in a comparative dynamic context based on three-level assessment, due to structural elements of risks and identification of possible and promising deadlines and time horizons by stages of the project life cycle, critical paths and reserves which allow us to achieve the main goal of improving the innovative projects implementation efficiency. © 2021 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0). Risk assessment of innovative projects: Development of forecasting models",Otros, article development systematic dynamic complex model generation risk assessment innovative  base scenario modeling many risk influence arising certain stage  implementation target area article  realization  proposes complex toolkit modeling innovative  risk direction impact performance indicator scenario involves implementation following stage modeling stage collection processing   stage evaluation innovation  efficiency indicator stage formation assessment many risk innovation  compnt nature impact strength stage modeling innovative  development scenario implemented  model  possible compare compnt efficiency riskiness determine integrated aggregate level  risk compnt life cycle risk target  risk scenario depending environmental factor manager propensity take risk solves problem positioning real indicator state innovation  efficiency comparative dynamic context based threelevel assessment  structural element risk identification possible promising deadline  horizon stage  life cycle critical path reserve allow  achieve main goal improving innovative  implementation efficiency  author  permitted creative common license attribution 40 international  40 risk assessment innovative  development forecasting model,4
25,Use of Artificial Intelligence Smart Tools in Projects,"In recent years, artificial intelligence (AI) has gotten a lot of press and attention. Learning and adapting through constant algorithmic interventions aid in the development of a firm grasp of the situation at hand, as well as the handling of more difficult challenges as they arise. Cognitive psychology and knowledge-based applications engineering are at the heart of AI. AI-assisted quicker computing approaches are being used to address complex difficulties. Simultaneously, new, and more complicated issues emerge, which are difficult for the human mind to understand and envision, and which are far from being solved. Dynamic developments in global technical, economic, political, and environmental settings provide insurmountable challenges to corporate executives and strategists. Projects and project management are used to carry out business plans and government welfare goals. Throughout the project's timeframe, project managers must cope with restrictions. Regardless of methodology, predictive or iterative, the existence of various stakeholders and managing their requirements creates a slew of issues for the project manager and team. This paper aims to explain the existing industrial procedures employed by project managers that utilize AI principles. The author's aim is to set out obstacles and realistic alternatives for next generation project managers to apply AI in managing stakeholder expectations, resolving dissent and conflicts, and assuring flawless project delivery. © 2022 IEEE. Use of Artificial Intelligence Smart Tools in Projects",Manejo de riesgo,recent year artificial intelligence  gotten  press attention learning adapting constant algorithmic intervention  development firm grasp situation hand well handling difficult challenge arise cognitive psychology knowledgebased application engineering heart  aiassisted quicker computing   address complex difficulty simultaneously  complicated issue emerge difficult human mind understand envision  solved dynamic development global technical economic political environmental setting provide insurmountable challenge corporate executive strategist     carry business plan government welfare goal throughout  frame  manager must cope restriction regardless methodology predictive iterative existence various stakeholder managing requirement creates slew issue  manager team   explain  industrial procedure employed  manager utilize  principle author   obstacle realistic alternative next generation  manager apply  managing stakeholder expectation resolving dissent conflict assuring flawless  delivery ieee  artificial intelligence smart tool ,2
26,Project duration-cost-quality prediction model based on Monte Carlo simulation,"Based on the earned value management theory, the project duration and cost forecast data are obtained through Monte Carlo simulation, combined with the knowledge of mathematical statistics to in-depth analysis of the data, and then the project quality calculation is completed by establishing the quality correlation function. On the basis of existing scholars' research, at the process level, the management focus is identified by calculating process influence and quality, and at the project level, the operation of the entire project is simulated and predicted by the calculation of the total construction period, cost, and quality. © Published under licence by IOP Publishing Ltd. Project duration-cost-quality prediction model based on Monte Carlo simulation",Manejo de valor,based earned value  theory  duration cost forecast  obtained monte carlo simulation combined knowledge mathematical statistic indepth analysis   quality calculation completed establishing quality correlation function basis  scholar research process level  focus identified calculating process influence quality  level operation entire  simulated predicted calculation total construction period cost quality published licence  publishing   durationcostquality prediction model based monte carlo simulation,1
27,Document clustering for knowledge synthesis and project portfolio funding decision in R&D organizations,"The paper discusses a method of using document clustering for information/knowledge synthesis and decision facilitation in R&D organisations. The emerging methodologies of machine learning, artificial intelligence and data science in conjunction with fuzzy mathematics can be optimally exploited to catalyse development of information bank for research organisations. This knowledge ecosystem can be utilized by the proposed mechanism to accelerate and reinforce interdisciplinary research for R&D organisations and empower them to make efficacious information-driven decisions related to project portfolio selection and proposal funding. © 2019, National Institute of Science Communication and Information Resources (NISCAIR). All rights reserved. Document clustering for knowledge synthesis and project portfolio funding decision in R&D organizations",Alineamiento estatégico, discus method using document clustering informationknowledge synthesis decision facilitation  organisation emerging methodology machine learning artificial intelligence  science conjunction fuzzy mathematics optimally exploited catalyse development information bank research organisation knowledge ecosystem utilized proposed mechanism accelerate reinforce interdisciplinary research  organisation empower  efficacious informationdriven decision    selection proposal funding national institute science communication information resource niscair right reserved document clustering knowledge synthesis   funding decision  ,0
28,Project performance analysis using hierarchical clustering method,This paper deals with the project management performance analysis in automotive industry and usage of the advanced analytics to optimize the performance of the engineering projects within the vehicle manufacturing facility. The aim is to identify and mitigate the common causes of project delay (slippage) in various engineering projects that are independent of the technical discipline where a particular project belongs to. We have used the hierarchical clustering technique here to identify the sub-groups of similar projects and further deeply analysed those ones with the highest average slippage. © 2021 International Journal of Emerging Technology and Advanced Engineering. All rights reserved. Project performance analysis using hierarchical clustering method,Monitoreo y control de portafolio, deal   performance analysis automotive industry usage advanced analytics optimize performance engineering   vehicle manufacturing facility  identify mitigate common   delay slippage various engineering  independent technical discipline particular  belongs  hierarchical clustering technique identify subgroup similar  deeply analysed  highest average slippage international journal emerging technology advanced engineering right reserved  performance analysis using hierarchical clustering method,5
29,Evaluation Criteria of Project Risk and Decision Making Through Beta Analysis and TOPSIS Towards Achieving Organizational Effectiveness,"Value of a project of an organization is primarily determined by two major factors – risk and return. The most important aspect of a business analysis, therefore, lies with the analysis of the risks and their associated returns. The basic objective of an organization is to increase the productivity to grab more market share. But the problem is that market risk is inherent in all projects and, by nature, it is stochastic. It can hardly be avoided but can be mitigated at most through diversification. Through Capital Asset Pricing Model (CAPM), the systematic or un-diversifiable risks can be described and measured by beta, ?. In order to mitigate the risk, investments are to be made on a combination of different projects or portfolio of projects rather than a single project. Through ?-hedging, a proper hedging strategy can be developed to reduce the systematic risk. But it has also been observed that the concept of CAPM has been plagued by the stochastic nature of the economy. Therefore, in the first part of this work, the systematic risk has been evaluated through time-varying ? analysis. According to the results of the hedge performance of individual projects of the portfolio, it will be possible to select/rank the projects according to their risk-return trade-off capacity and in the second part, the Technique for Order Preference using Similarity to Ideal Solution (TOPSIS), one of the most important MCDM techniques, has been merged with CAPM in order to provide a more justified selection procedure of projects considering four more attributes, other than risk, which may confirm a more realistic basis of creating the portfolio for increasing organizational effectiveness. Evaluation Criteria of Project Risk and Decision Making Through Beta Analysis and TOPSIS Towards Achieving Organizational Effectiveness",Manejo de riesgo,value   primarily determined  major factor risk return important aspect business analysis therefore  analysis risk associated return basic objective  increase productivity grab market share problem market risk inherent  nature stochastic hardly avoided mitigated diversification capital asset pricing model capm systematic undiversifiable risk described measured beta  mitigate risk investment made combination different    rather single  hedging proper hedging strategy developed reduce systematic risk  observed concept capm plagued stochastic nature economy therefore  part  systematic risk evaluated varying analysis according result hedge performance individual   possible selectrank  according riskreturn tradeoff capacity second part technique  preference using similarity ideal solution topsis  important mcdm technique merged capm  provide justified selection procedure  considering four attribute risk  confirm realistic basis creating  increasing  effectiveness evaluation criterion  risk decision  beta analysis topsis  achieving  effectiveness,2
30,Information support of corporate governance and strategic management using analytical software,"In the paper an information aspect of corporate governance and strategic management is considered. Relying on analysis of merits and limitations of current developments the concept of performance management information support system and the appropriate modeling approach are proposed. Finally, the possibilities of use of analytical information systems for corporate governance and strategic management are discussed. ©2010 IEEE. Information support of corporate governance and strategic management using analytical software",Manejo de gobernanza, information aspect corporate governance strategic  considered relying analysis merit limitation  development concept performance  information support system appropriate modeling  proposed finally possibility  analytical information system corporate governance strategic  discussed 2010 ieee information support corporate governance strategic  using analytical software,3
