Title,Alineamiento estatégico,Manejo de valor,Manejo de riesgo,Manejo de gobernanza,Otros,Monitoreo y control de portafolio
Enhanced Field Sustainable Oil Production Rate Forecast Using Integrated Asset Operating Model for Production Efficiency Improvement,10.53,19.61,16.82,17.9,15.81,16.55
Commercial office portfolio risks during the COVID pandemic and the future beyond – a survey of stakeholders in India,8.48,18.51,12.62,16.59,10.27,13.85
IT Controlling: From IT cost and activity allocation to smart controlling,5.7,12.43,11.45,15.28,9.24,9.8
Investigation of gender differences in familiar portfolio choice,5.99,16.85,11.21,13.1,9.65,11.82
Random walk through a stock network and predictive analysis for portfolio optimization,7.16,14.92,14.95,15.72,12.11,14.53
"2nd International Conference on Business Analytics for Technology and Security, ICBATS 2023",7.02,16.3,12.38,15.72,9.65,13.85
Special Session: Marketing Science at the Service of Innovative Startups and Vice Versa: An Abstract,10.23,19.61,14.72,21.4,13.35,18.92
Does a knowledge gap contribute to the performance gap? Interviews with building operators to identify how data-driven insights are interpreted,7.16,14.09,10.75,14.85,9.65,14.86
An Ameliorate Analysis of Cryptocurrencies to Determine the Trading Business with Deep Learning Techniques,8.77,17.96,13.32,17.03,11.91,13.18
All grown up? Market maturity and investment in London's purpose-built student accommodation sector,8.77,17.96,12.85,16.16,10.06,14.86
Exploring the social and technical factors in organisational AI adoption: A systematic literature review,7.89,18.51,13.55,20.52,11.91,13.18
Financial Portfolio Management Based on Shaped-Based Unsupervised Machine Learning: A Dynamic Time Warping Baycenter Averaging Approach to International Markets and Periods of Downside Event Risks,6.29,14.92,10.51,15.72,8.21,12.16
Process mining at Lufthansa CityLine: The path to process excellence,8.48,18.23,12.62,18.78,10.88,11.49
The National Coordinated Citrien eHealth Program to Scale Up Telemonitoring: Protocol for a Before-and-After Evaluation Study,8.63,18.51,14.49,20.09,10.06,13.85
Empirical risk assessment of maintenance costs under full-service contracts,6.73,15.75,13.08,13.1,9.86,14.53
SELF AS STORY: Meaning-Making and Identity Integration in Capstone ePortfolios,4.24,14.64,8.18,13.1,7.6,11.49
A sentiment analysis approach to the prediction of market volatility,6.29,14.36,11.21,15.28,8.83,12.16
ESG Controversies and Stock Returns,5.12,18.23,10.05,14.41,7.8,12.5
Introducing concepts: stairs of acceptance and project speciiic reputation score. Exploring public acceptance in three Finnish construction projects via large dataset media-analytics,7.89,17.13,12.62,14.85,11.29,14.19
Innovation Process of Hydrogen Fuel Cell Storage Technology Using the Theory of Inventive Problem Solving (TRIZ),7.46,16.02,10.28,17.9,8.01,11.82
Location-Based Tracking and Monitoring Infrastructural Construction Works by Using Business Intelligence Tool,7.46,16.02,11.21,20.52,9.45,14.86
Is artificial intelligence an enabler of supply chain resiliency post COVID-19? An exploratory state-of-the-art review for future research,10.09,22.93,13.32,20.09,13.35,14.86
AI human impact: toward a model for ethical investing in AI-intensive companies,6.14,12.71,11.21,16.59,10.47,13.51
"Essentials of Excel VBA, Python, and R: Volume I: Financial Statistics and Portfolio Analysis",6.29,16.85,12.38,14.85,9.65,12.16
A scientometric review of construction progress monitoring studies,8.33,20.99,11.68,17.03,10.27,15.2
Identifying poorly performing listed firms using data analytics,6.58,14.92,11.92,13.54,8.42,12.5
The impact of the COVID-19 crisis on global real estate capital flows,7.6,17.68,13.08,15.72,11.09,13.85
A Bayesian belief network predictive model for construction delay avoidance in the UK,7.31,17.96,11.68,14.41,10.47,13.85
Geological Risks and Resources-Based Portfolio Ranking and Completion Optimization by Areas: An Eagle Ford Case Study,7.89,20.99,14.25,19.65,12.32,16.89
Specialized Information System for Support of the Process of Recruiting Securities,7.31,15.47,11.92,15.72,10.88,11.49
Adoptation of Extended Metaheuristics Considering Risk-Allocated Portfolio Optimization,7.46,18.78,13.55,14.85,9.03,11.82
Project portfolio risk management. Bibliometry and collaboration Scientometric domain analysis,8.33,24.86,13.55,17.03,10.68,13.85
ML-FaaS: Toward Exploiting the Serverless Paradigm to Facilitate Machine Learning Functions as a Service,9.06,20.72,14.02,15.72,13.35,15.54
An Implementation of Support Vector Machine Classification for Developer Academy Acceptance Prediction Model,7.75,19.61,11.68,14.85,9.86,15.88
A Software Ecosystem for Project Management in BIM Environments Assisted by Artificial Intelligent Techniques,6.87,14.92,12.62,19.65,10.88,10.81
Total quality management (TQM) implementation in the Nigerian construction industry,9.65,20.44,14.02,17.47,11.29,15.54
Transformation of Software Project Management in Industry 4.0,7.75,17.96,14.72,20.52,11.5,14.19
Project management: openings for disruption from AI and advanced analytics,11.26,20.17,16.59,20.09,11.91,16.89
"Combining the best concepts of agile methods with concepts from predictive ones: applications of simulations, scenarios, and logic",5.26,14.92,11.21,13.54,8.21,11.82
Detecting environmental hotspots in extensive portfolios through LCA and data science: a use-case perspective,8.92,17.4,12.85,19.65,10.68,12.84
Risk-Based Approach to Predict the Cost Performance of Modularization in Construction Projects,9.94,23.2,17.29,21.83,16.22,20.95
Design of Brain Intelligence Framework for Water Traffic Management Integrating Multiple Spaces,5.12,14.64,8.64,19.21,8.21,11.15
Lateral Load Behavior of Unreinforced Masonry Spandrels,5.26,11.88,9.11,15.28,9.03,11.49
BI Solutions as a Tool for the Management of Quality of Company's Project Activities,4.82,15.47,10.75,21.83,8.42,10.47
Key investors and their strategies in the expansion of European student housing investment,6.43,13.54,10.75,16.59,8.42,10.14
LUSTRE: An Online Data Management and Student Project Resource,5.7,14.64,10.51,14.41,9.03,11.15
A FRAMEWORK FOR RANKING CRITICAL SUCCESS FACTORS OF BUSINESS INTELLIGENCE BASED ON ENTERPRISE ARCHITECTURE AND MATURITY MODEL,12.72,25.14,17.99,24.89,16.22,20.95
"Proceedings of the 2021 SIGCOMM 2021 Poster and Demo Sessions, Part of SIGCOMM 2021",3.51,12.43,7.94,10.04,6.78,8.78
Realizing Value from Digital Transformation: Benefits Management Re-imagined,14.62,22.1,19.86,26.2,17.25,19.26
The Professional Career Path; A Structured and Transparent Guide for Career Progression and Strengthening Professional In-House Capabilities,9.8,18.23,14.95,21.4,13.14,15.88
Artificial Intelligence Applications for Lending and NPA Management,7.89,16.57,14.72,18.78,11.09,14.53
Innovation in Business Intelligence Systems: The Relationship between Innovation Crowdsourcing Mechanisms and Innovation Performance,5.99,15.75,9.81,15.28,8.01,13.18
An analytics model for TelecoVAS customers’ basket clustering using ensemble learning approach,7.46,12.71,11.21,13.54,9.86,13.85
DMISTA: Conceptual Data Model for Interactions in Support Ticket Administration,7.75,16.3,12.15,20.09,10.68,14.19
Mapping Unmanned Aerial System Data onto Building Information Modeling Parameters for Highway Construction Progress Monitoring,7.75,17.4,13.55,24.02,11.09,18.92
Shareholder Structure of Major Technology Companies: A Graph Analytics Study during COVID-19 and Beyond,6.58,16.57,11.68,16.16,10.47,13.18
An analysis of pollution Citizen Science projects from the perspective of Data Science and Open Science,8.19,18.23,14.02,20.09,9.65,12.16
Accelerated FDP Reservoir Studies in Challenging Brownfields Utilizing Digital Could Technologies,9.21,21.55,16.12,16.59,12.53,16.22
Assessment of process capabilities in transition to a data-driven organisation: A multidisciplinary approach,10.09,17.96,13.55,18.78,13.76,16.22
The Digitally Transformative U-WISE Software Technology,8.04,19.61,14.72,17.9,11.7,16.89
"Well Portfolio Optimisation: Accelerating Generation of Well Intervention Candidates with Automated Analytics and Machine Learning - A Case Study from Attaka Field, Indonesia",9.65,21.27,17.29,19.65,14.78,15.2
Portfolio - a tool for making learning and competence development visible; [Portföljen synliggör lärandet och kompetensutvecklingen],3.65,9.94,8.88,11.79,6.98,11.15
Multi-factor dependence modelling with specified marginals and structured association in large-scale project risk assessment,6.58,16.02,12.38,13.1,9.03,14.53
Transforming Insurance Business with Data Science,6.29,14.64,10.98,13.97,10.68,11.82
Reducing the Total Product Cost at the Product Design Stage,9.65,20.44,15.65,23.14,11.91,16.22
A computational approach to evaluating curricular alignment to the united nations sustainable development goals,7.75,14.36,12.38,14.41,9.65,13.51
A model utilizing the artificial neural network in cost estimation of construction projects in Jordan,7.46,16.85,13.32,20.09,11.7,17.91
Health information exchange as a profession,4.97,13.54,11.92,15.28,8.62,10.14
A Comparative Study of Deep Neural Network and Statistical Models for Stock Price Prediction,7.02,17.96,13.08,15.28,12.11,15.54
Data-driven decision making with Blockchain-IoT integrated architecture: a project resource management agility perspective of industry 4.0,7.46,17.4,13.32,17.9,10.47,16.22
Applying petri-net to construct knowledge graphs for adaptive learning diagnostics and learning recommendations,15.5,24.59,21.5,25.76,19.1,26.69
Optimal Well Designs and Process Frameworks: Keys to Reducing Well Cost and Winning in any Environment,7.16,16.85,14.72,19.21,11.29,14.53
"Learning from What We Do, and Doing What We Learn: A Learning Health Care System in Action",8.48,16.85,12.85,18.78,9.65,12.84
A Nash bargaining solution for a multi period competitive portfolio optimization problem: Co-evolutionary approach,8.63,19.61,15.19,16.16,11.29,15.88
Asymptotic theory of principal component analysis for time series data with cautionary comments,4.53,13.54,9.11,13.1,7.6,11.49
"Optimization of Regulatory Economic-Capital Structured Portfolios: Modeling Algorithms, Financial Data Analytics, and Reinforcement Machine Learning in Emerging Markets",6.58,16.3,12.15,13.54,9.03,12.16
From Stream Flows to Cash Flows: Leveraging Evolutionary Multi-Objective Direct Policy Search to Manage Hydrologic Financial Risks,8.92,17.4,15.42,15.72,11.91,13.18
Automation and Digitalization of Polymerflood Viscosity Surveillance Through Machine Learning- A Case Study from Marmul,6.87,19.89,15.42,17.9,12.94,18.58
Financial Network Connectedness and Systemic Risk During the COVID-19 Pandemic,4.53,13.54,9.81,12.66,6.37,9.8
Developing strategies to prioritise and mitigate the risks occurring in project management practices for an agile organisation - a perspective of Industry 4.0 technologies,6.29,14.92,11.92,16.59,9.24,15.2
Rule-Based Classification Based on Ant Colony Optimization: A Comprehensive Review,7.6,20.99,13.55,17.47,10.68,13.18
Machine learning and optimization based decision-support tool for seed variety selection,12.28,20.99,17.76,20.96,14.99,19.59
Laplacian Echo-State Networks for production analysis and forecasting in unconventional reservoirs,9.21,20.99,16.12,16.16,12.53,20.61
Developing a framework for evaluating construction project safety levels and optimal cost allocation to safety influential factors,9.36,20.17,13.55,14.85,11.29,17.91
Amelioration of Big Data Analytics by Employing Big Data Tools and Techniques,6.29,15.75,10.98,14.41,9.03,12.5
A Novel Modeling Technique for the Forecasting of Multiple-Asset Trading Volumes: Innovative Initial-Value-Problem Differential Equation Algorithms for Reinforcement Machine Learning,9.06,19.61,14.49,17.03,12.73,12.84
Estimation with uncertainty via conditional generative adversarial networks,6.43,14.92,13.08,13.1,10.88,14.53
Deep-learning-based visual data analytics for smart construction management,6.73,16.85,10.75,15.72,9.03,12.84
Professional Development of a Production & Facilities Generalist as a Jack-of-All-Trades,8.92,17.4,13.08,18.34,12.32,15.2
Maximum drawdown distributions: The cross-asset dimension,5.12,13.26,9.58,14.85,6.78,10.81
A Fuzzy Prescriptive Analytics Approach to Power Generation Capacity Planning,7.16,18.51,14.02,15.28,9.65,14.19
"28th International Conference Systems Engineering, ICSEng 2021",8.63,20.44,14.95,19.65,11.7,15.54
Predicting Under- and Overperforming SKUs within the Distribution–Market Share Relationship,6.87,14.09,12.15,17.47,9.86,15.2
A Novel Implementation of Siamese Type Neural Networks in Predicting Rare Fluctuations in Financial Time Series,7.31,16.3,12.15,13.54,9.86,13.85
AHP–TOPSIS methodology for stock portfolio investments,5.99,14.64,11.92,15.28,7.6,12.16
Analyzing a Data Science Online Practitioner Community: Trends and Implications for Data Science Project Management,5.7,15.75,11.45,15.28,8.62,12.84
Forecasting Undergraduate Majors: A Natural Language Approach,5.12,11.88,9.11,14.85,8.21,11.82
Selecting advanced analytics in manufacturing: a decision support model,8.48,16.02,14.25,15.28,12.94,16.55
Human resource analytics: a review and bibliometric analysis,6.58,19.89,10.51,18.78,8.83,13.85
Dynamic Stop-Loss Approach for Short Term Trades using Deep Learning,9.5,19.34,14.02,19.21,13.14,16.55
Agile supply chain analytic approach: a case study combining agile and CRISP-DM in an end-to-end supply chain,8.33,17.4,10.75,17.9,10.47,14.19
An Empirical Analysis of Risk Similarity among Major Transportation Projects Using Natural Language Processing,7.6,17.13,13.32,14.41,11.7,14.86
"Digital Control Tower - Instantaneous Visibility, Granularity and Decision Support for an LNG Mega Project",9.8,16.57,16.36,20.52,14.99,18.24
Wine Analytics: Futures or Bottles?,5.41,15.19,11.68,12.23,8.42,12.16
Smart Project Management System (SPMS) - An Integrated and Predictive Solution for Proactively Managing Oil & Gas client Projects,13.6,23.76,21.5,21.4,18.48,22.3
Identification of the Barriers to Data-Centric Approach in the Construction Industry,7.46,20.17,12.38,21.4,11.5,13.85
Lessons learned from the impact of COVID-19 on the global construction industry,8.48,18.78,12.62,17.03,8.21,13.51
Neuro-fuzzy system based model for prediction of project performance in downstream sector of petroleum industry in Iran,8.77,20.17,13.08,16.59,11.7,17.91
ACCEPTANCE OF CONTEMPORARY TECHNOLOGIES FOR COST MANAGEMENT OF CONSTRUCTION PROJECTS,6.58,19.06,12.62,18.34,11.29,18.58
A Study on Operational Risk and Credit Portfolio Risk Estimation Using Data Analytics*,7.31,16.02,14.02,14.85,8.42,15.88
System and Method on Order Management Using Neural Networks and Risk Modeling,5.99,14.64,11.68,15.72,9.45,14.53
Modeling of Optimal Credit Limits in Microfinance Organizations; [Моделирование оптимальных кредитных лимитов в микрофинансовых организациях],8.33,17.96,14.25,17.03,10.06,15.54
IBTIKAR Digital Lab - A Collaborative Approach towards Research and Development Challenges in Oil and Gas Upstream,11.55,22.65,19.39,24.02,17.04,18.58
Severity Prediction of Construction Site Accidents Using Simple and Ensemble Decision Trees,9.06,16.85,14.49,16.59,10.88,15.54
Digital Twin and Big Data Technologies Benefit Oilfield Management,8.63,17.4,16.82,17.47,13.96,19.59
Blockchain-Based Methodology for Collaborative Risk Assessment,7.31,17.96,12.62,16.16,11.29,12.84
Empowering the Workforce of the Future Through Strategic Data Science Framework to Demystify Digitalization in ADNOC Onshore to Create Sustainable Business Value,11.99,20.99,17.29,18.34,17.86,19.59
Risk Management in Analytics Solutions Integration and Deploy: Case Study in a Brazilian Financial Institution,8.77,18.23,13.55,16.59,10.68,13.51
Leveraging the industry 4.0 technologies for improving agility of project procurement management processes,8.33,20.72,13.08,20.09,11.5,16.89
Predicting the Defects using Stacked Ensemble Learner with Filtered Dataset,8.92,17.96,14.25,16.59,12.53,18.92
Revamping construction supply chain processes with circular economy strategies: A systematic literature review,10.38,22.38,14.95,20.96,13.55,14.86
Power BI in ICT for Monitoring of Insurance Activity Based on Indicators of Insurance Portfolios,7.02,15.19,12.38,19.65,9.65,16.89
Software Analytics Tools: An Intentional View,6.14,14.09,10.05,20.52,11.7,14.86
Predicting Project Outcomes with the Association of Project Management,10.09,18.78,16.12,19.21,37.58,17.23
A Data-driven project categorization process for portfolio selection,14.77,19.61,14.49,18.34,12.32,14.19
Data to Value: An ‘Evaluation-First’ Methodology for Natural Language Projects,4.68,11.88,9.58,13.1,8.62,9.46
Population Health: Identifying Skill Sets and Education Alignment for HIM Professionals,4.82,15.19,9.35,13.54,9.24,12.84
STATISTICAL TOOLS AND THEIR IMPACT ON PROJECT MANAGEMENT HOW THEY RELATE,6.14,13.54,10.98,16.16,8.62,15.54
Practical and Open Source Best Practices for Ethical Machine Learning,6.73,16.02,13.08,18.78,9.86,10.81
Toward Global Food Security: Transforming OCP Through Analytics,5.85,15.47,10.98,13.97,9.45,13.51
Leveraging machine learning to detect data curation activities,5.99,12.98,11.21,16.16,9.86,15.54
Integrating artificial intelligence and analytics in smart grids: a systematic literature review,9.94,22.65,13.79,21.83,12.11,17.23
How do credit markets react to earnings releases? Empirical analysis and implications for investors,4.68,14.36,8.64,13.54,6.98,10.81
A Comparative Study of Machine Learning Approaches for Non Performing Loan Prediction,8.77,17.96,13.32,19.65,10.06,18.24
Project performance analysis using hierarchical clustering method,4.97,12.15,9.11,15.72,7.8,21.28
A hybrid energy systemworkflow for energy portfolio optimization,11.84,19.61,17.52,20.96,14.17,16.89
Accelerating Hydrocarbon Maturation and Project Delivery by 30% with Digitalization - Standardizing on the Fly Analysis to Enable Informed Decision Making Using Petabytes of Petro Technical Data,9.21,22.38,15.42,20.96,13.76,16.22
Assessment of Systems Requirements Specification Skills Based on an Industry Body of Knowledge,5.85,12.98,10.05,17.9,8.62,13.51
DEVISING SCIENTIFIC AND METHODOLOGICAL TOOLS TO STRENGTHEN THE ECONOMIC SECURITY OF A REGION THROUGH THE IMPROVEMENT OF TECHNOLOGIES FOR MARKETING SUPPORT OF TOURISM,8.77,16.85,15.19,21.83,11.91,14.19
Risk optimisation analytics: A case study on Brown Research Associates India (BRAI),6.58,17.4,11.21,14.41,9.65,12.16
Constructing Insights on Learning Analytic Student Activity Data from an Online Undergraduate Construction Management Course,6.29,15.75,10.75,14.85,8.62,12.84
Process Mining for Six Sigma: Utilising Digital Traces,7.75,19.06,14.25,22.71,11.29,15.2
Application of enhanced RPB tool in Malaysian oilfields for gas injection RF benchmarking and analogue identification,8.48,17.4,15.19,17.9,12.73,12.84
Research on the Construction Method of Intelligent Prediction and Analysis Model for the Whole Process of Power Grid Project Cost,5.56,15.47,12.38,15.72,11.09,16.22
A risk prediction model for software project management based on similarity analysis of context histories,7.46,17.96,14.02,18.78,12.11,15.88
Associative classification model for forecasting stock market trends,5.85,14.09,10.51,15.28,9.03,12.5
Information and algorithmic support of a multi-level integrated system for the investment strategies formation,8.48,19.06,12.85,17.47,11.7,13.85
Resilience of business strategy to emergent and future conditions,9.06,20.99,14.72,18.78,11.91,13.85
Closed-Loop Data Analytics for Wells Construction Management in Real Time Centre,9.94,18.51,14.49,20.09,14.17,14.86
Big Data IAOM Project Management and Workflow Automation in a Giant Gas Field Digitization Drive,10.82,23.48,16.12,22.27,17.66,17.57
"Organization and IT Strategic Alignment, Determination of IT Process Priorities using COBIT 5",9.94,19.34,14.49,23.58,12.53,16.22
Knowledge learning of insurance risks using dependence models,7.46,17.13,13.79,15.72,11.5,16.89
Development of a Digital ESP Performance Monitoring System Based on Artificial Intelligence,9.21,19.89,14.25,17.9,12.32,17.57
"Data Science for Water Cut Analysis System by Utilizing ESP Sensor Data, Conceptual Model, and Its Proposed Solution",14.77,23.76,22.2,27.07,20.12,24.66
Accurate response in agricultural supply chains,6.14,12.98,9.81,13.54,8.62,11.15
Agile Auditing: Fundamentals and Applications,6.73,16.02,11.45,15.72,8.42,11.49
How to measure and manage the UK Government’s major project portfolio,10.67,17.68,10.98,17.03,9.45,12.84
Agile Project Management Based on Data Analysis for Information Management Systems,10.53,20.44,15.89,22.27,13.76,19.93
The effect of Bellwether analysis on software vulnerability severity prediction models,9.65,20.99,14.25,17.47,12.73,19.26
"CONNECTING SYSTEMS SCIENCE, THINKING, DYNAMICS AND ENGINEERING TO SYSTEMS PRACTICE FOR MANAGING COMPLEXITY",15.06,25.41,20.56,27.51,17.66,22.97
Systematic Market and Asset Liquidity Risk Processes for Machine Learning: Robust Modeling Algorithms for Multiple-Assets Portfolios,7.46,17.68,13.79,18.34,9.86,13.18
A cross-sectional machine learning approach for hedge fund return prediction and selection,6.87,17.68,10.75,13.54,9.03,15.2
Semantic enrichment of building and city information models: A ten-year review,6.14,19.89,10.98,19.65,10.27,13.18
Front end work process digital transformation: Challenges and opportunities,9.94,18.23,15.89,19.21,14.99,18.92
Pricing service maintenance contracts using predictive analytics,6.14,15.75,10.98,16.16,8.42,12.16
Mean–variance portfolio optimization using machine learning-based stock price prediction,6.58,20.17,14.02,14.85,10.68,14.19
Situational analysis of complex offshore network for strategizing sequence for green field development,11.4,22.93,20.56,18.34,16.43,16.89
Stock selection strategy based on double objective programming,7.02,19.06,12.62,11.79,11.5,14.86
Application of Features and Neural Network to Enhance the Performance of Deep Reinforcement Learning in Portfolio Management,7.75,18.23,13.55,18.78,11.7,13.51
Priorities for science to overcome hurdles thwarting the full promise of the ‘digital agriculture’ revolution,9.5,16.3,14.72,21.83,10.47,16.55
Mapping socially responsible investing: A bibliometric and citation network analysis,7.31,17.96,12.38,15.28,10.27,13.18
Design of a process mining alignment method for building big data analytics capabilities,8.19,14.09,12.62,21.83,9.24,14.53
Manhole cover detection on rasterized mobile mapping point cloud data using transfer learned fully convolutional neural networks,6.29,12.98,11.21,14.41,10.27,15.54
