Title,Link,Abstract,Name,Category,Criteria
Portfolio Governance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164323907&doi=10.1201%2f9781003315902-5&partnerID=40&md5=5ada7a78e13d33bdcb26d04de5d3bbdb,"Project portfolio governance is a critical capability in the best of times. With a firm foundation, ongoing governance and oversight enable projects and programs to proceed down the path to arrive at the strategic destination. The intention of portfolio ",Capacity management - organizational capabilities,Capacity management,Organizational capabilities
The Role of Project Management Office in Managing Project Portfolio Management: A Descriptive Study in Indonesian Banks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159961370&doi=10.17549%2fgbfr.2023.28.2.45&partnerID=40&md5=dc9b678d4a1cdc854fae70b23cb2ed3f,Purpose: This paper presents a preliminary study of the complete research to explore how strategic initiatives are implemented in Indonesian banks. It has the aim to descriptively compare the Project Portfolio Management (PPM) Capabilities and bank perfo,Capacity management - organizational capabilities,Capacity management,Organizational capabilities
A binary decision tree approach for pharmaceutical project portfolio management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152959272&doi=10.1016%2fj.dajour.2023.100228&partnerID=40&md5=f91438a1b581b9abc274f044970ac786,"In pharmaceutical R&D, decision makers face a large portion of uncertainty in portfolio decisions. Existing optimization tools are mostly based on expected values, ignoring uncertainty, and most often deliver a single, ?best? selection of projects. A dec",Capacity management - organizational capabilities,Capacity management,Organizational capabilities
Aligning construction projects with strategy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147913972&partnerID=40&md5=8070588a125489b4632095005964f81d,This chapter explores the alignment of construction projects with strategy through several case studies and offers insights for the development of project portfolio management (PPM) capabilities in construction. Most PPM research occurs in industries ass,Capacity management - organizational capabilities,Capacity management,Organizational capabilities
Advances in project management: Narrated journeys in unchartered territory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062501293&doi=10.4324%2f9781315565729&partnerID=40&md5=1567a3b7a3d7b61e773920f850433e3c,"On the evidence of the authors of Advances in Project Management: Narrated Journeys in Unchartered Territory, there is a sea change coming. That change will affect the way projects are perceived, lead and governed, particularly in the context of the wide",Capacity management - Supply and demand optimization,Capacity management,Supply and demand optimization
Power Grid Construction Project Portfolio Optimization Based on Bi-level programming model,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027984674&doi=10.1088%2f1755-1315%2f81%2f1%2f012186&partnerID=40&md5=28f87792be293cd1e8be4362b274c41c,"As the main body of power grid operation, county-level power supply enterprises undertake an important emission to guarantee the security of power grid operation and safeguard social power using order. The optimization of grid construction projects has b",Capacity management - Supply and demand optimization,Capacity management,Supply and demand optimization
Practicing operations management in a laboratory management; [pRaticando Gestão de opeRações em um laboRatóRio de Gestão],https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099323822&doi=10.1590%2f1678-69712015%2fadministracao.v16n4p43-76&partnerID=40&md5=3fa5b9ee9f345f2dc8b522cb6a5984f6,"Describing models of operations management is not sufficient to illustrate its dynamism, complexity and importance. The lack of proper balance between theory and practice in education regarding operations management suggests the search for initiatives th",Capacity management - Supply and demand optimization,Capacity management,Supply and demand optimization
Portfolio Development Planning for Operational and Strategic Decisions,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1142264206&doi=10.2118%2f84607-ms&partnerID=40&md5=c92aff7e319bd2ad4be5ac887ffbc8c6,"BP, a major shareholder of the Atlantic LNG Plant in Trinidad and Tobago, was in search of project modeling and economic forecasting tools to help meet the aggressive commercial gas demands of this asset. This asset consists of 7 production fields that s",Capacity management - Supply and demand optimization,Capacity management,Supply and demand optimization
"15th Wuhan International Conference on E-Business, WHICEB 2016",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138749914&partnerID=40&md5=8cd99d2611a4f033bac6ebe13951e823,The proceedings contain 70 papers. The special focus in this conference is on E-Business. The topics include: An Empirical Research on Hotel Revenue Management Financial Performance Influencing Factors; an Empirical Research on the Evaluation System of C,Capacity management - Supply and demand optimization,Capacity management,Supply and demand optimization
"Portfolio management in commercially oriented businesses: Project selection, prioritization and measurement",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881563890&partnerID=40&md5=79c25964f98463731efe85bd24841bc6,"In a commercially focused project oriented business, project identification, selection and execution determine profitability. A business must measure, rank and prioritize its commercial projects to ensure resources are allocated to the high priority comp",Change Management - Identification of changes,Change Management,Identification of changes
A Sustainability Assessment Framework for On-Site and Off-Site Construction Logistics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137181334&doi=10.3390%2fsu14148573&partnerID=40&md5=493c813c6c30772e55d0d11ae4139fc6,"Urban areas pay increasing attention to new construction and infrastructure works, mainly due to the rapid global rise in urbanisation. In the long run, these works have a positive correlation with the economic and social attractiveness of cities. Constr",Change Management - Identification of changes,Change Management,Identification of changes
"A project prioritization approach considering uncertainty, reliability, criteria prioritization, and robustness",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124176560&doi=10.1016%2fj.dss.2022.113731&partnerID=40&md5=2c84629f4762ff00a2231149b9248def,"Given the limitation of resources in organizations (time, money, staff, material, etc.), deciding which projects should be given priority ? among many competing projects ? is a constant and continuous challenge for decision makers. As a result, a prolife",Change Management - Identification of changes,Change Management,Identification of changes
"International Conference on Information Systems, ICIS 2012, Volume 5",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886550717&partnerID=40&md5=2441a03d215ae7a1b04bc5151531cada,The proceedings contain 308 papers. The special focus in this conference is on Information Systems. The topics include: Heterogeneity in IT landscapes and monopoly power of firms; community ecology for innovation concept; peer influence in a very large s,Change Management - Identification of changes,Change Management,Identification of changes
Project portfolio management: A powerful strategic weapon in pharmaceutical drug development,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993767767&doi=10.1177%2f009286159803200321&partnerID=40&md5=6171aaa112359b99cfc87d86cdc9831a,"International pharma market dynamics increasingly require that pharmaceutical companies add value to their organizations at all levels. In this respect, strategic research and development (R&D) portfolio management constitutes an extremely important tool",Change Management - Identification of changes,Change Management,Identification of changes
A Sustainability Assessment Framework for On-Site and Off-Site Construction Logistics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137181334&doi=10.3390%2fsu14148573&partnerID=40&md5=493c813c6c30772e55d0d11ae4139fc6,"Urban areas pay increasing attention to new construction and infrastructure works, mainly due to the rapid global rise in urbanisation. In the long run, these works have a positive correlation with the economic and social attractiveness of cities. Constr",Change Management - Impact assessment,Change Management,Impact assessment
"Developing a Sustainable and Circular Bio-Based Economy in EU: By Partnering Across Sectors, Upscaling and Using New Knowledge Faster, and For the Benefit of Climate, Environment & Biodiversity, and People & Business",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100524296&doi=10.3389%2ffbioe.2020.619066&partnerID=40&md5=e477c542c492f6a8414195386b358d5c,"This paper gives an overview of development of the EU-bioeconomy, 2014?2020. The Vision of the new Circular Bio-based Economy, CBE is presented: Unlocking the full potential of all types of sustainably sourced biomass, crop residues, industrial side-stre",Change Management - Impact assessment,Change Management,Impact assessment
Project-based Management of the Production Equipment Maintenance and Repair Information System,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144145835&partnerID=40&md5=6b09aaf0eb447620a0ee085f38c034aa,"The relevance of the research is due to the need to create an effective maintenance and repair planning system based on the development and implementation of methods that allow ranking and selecting the most priority maintenance and repair activities, de",Financial management - cost estimations,Financial management,Cost estimations
The basics of the project portfolio management generalized body of knowledge,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104879335&partnerID=40&md5=8b39ad4fea31567cdd848c324cf9d05c,"Several experts- surveys show that the success indicators of a new product in the market have a strong positive correlation with the performance of project portfolio management in organizations, and the success of the project is strongly related to the m",Financial management - cost estimations,Financial management,Cost estimations
Developing a framework for renewable technology portfolio selection: A case study at a R&D center,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860359302&doi=10.1016%2fj.rser.2012.03.035&partnerID=40&md5=1110de66f42dcab0f541690d30694056,"The rapid development of technologies, their increasing complexity and variety, long lead times of R&D and market dynamics have made the task of technology selection difficult. Considering high level of competitiveness, organizations need to strategicall",Financial management - cost estimations,Financial management,Cost estimations
The impact of human resource sharing on IT project risk,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126591224&partnerID=40&md5=8e617e7a9192bc1dbc14b3c24477ae90,"The increasing number of sophisticated IT projects and the scarcity of skilled human resources increasingly challenge IT project portfolio managers with the need to do 'more with less'. Consequently, resource sharing among projects provides a widely appl",Financial management - cost estimations,Financial management,Cost estimations
Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108621786&doi=10.1108%2fK-11-2020-0737&partnerID=40&md5=5459118c4bc044ed6d51e32528fdbf66,"Purpose: This study aims to develop a model for project portfolio selection considering organizational goals such as budgets, sustainability cash flow and reinvestment strategy under an uncertain environment. Design/methodology/approach: A multi-objectiv",Financial management - cost estimations,Financial management,Cost estimations
Development of natural gas assets in frontier offshore areas under challenging technical and economic environment - A project finance with real options approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040465040&doi=10.2118%2f187031-ms&partnerID=40&md5=69a601eb83f647f172cbc0ce627d57aa,"Gas field developments have been fundamental in the transition of moving toward a cleaner worldwide energy matrix. These developments normally flourish in the presence of large volumes, suitable infrastructure and committed demand through long-term contr",Financial management - Financial viability,Financial management,Financial viability
A system dynamics investigation of project portfolio management evolution in the energy sector: Case study: an Iranian independent power producer,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065044856&doi=10.1108%2fK-12-2018-0688&partnerID=40&md5=0a3745938ec6fe31bf42f1bba58e0cac,"Purpose: Project portfolio management (PPM) is a commonly used technique to align projects with strategy and to ensure adequate resourcing for projects. In this paper, to gain a better understanding of PPM dynamics, a system dynamics (SD) model was devel",Financial management - Financial viability,Financial management,Financial viability
Mapping between artefacts and portfolio processes from the PMI standard for portfolio management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988859527&doi=10.1007%2f978-3-319-46642-2_8&partnerID=40&md5=1bddc2f6f3aa7fde6a79a5cbfbefb1b3,"Among the decisions that software development organizations need to take is to define which projects should developed, as these are, ultimately, the reason for their existence. This decision is part of a broader decision-making process than the strictly ",Financial management - Financial viability,Financial management,Financial viability
Stochastic forecasting of project streams for construction project portfolio management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044648725&doi=10.1186%2fs40327-017-0049-y&partnerID=40&md5=04b919080da89e814e49dfaf5e9170f4,"Background: Construction companies typically work on many projects simultaneously each with its own objectives and resource demands. Consequently, a key managerial function is to allocate financial, equipment, and human resources between these concurrent",Financial management - Financial viability,Financial management,Financial viability
"Determinants of the use of predictive models in the management of investment portfolios, on the example of KGHM Polska Miedz S.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143349882&doi=10.1016%2fj.procs.2022.09.296&partnerID=40&md5=6a716a75da5c442600f5ff9b575686da,"The authors present the determinants of the use of predictive analysis to support decision-making processes in the area of investment project portfolio management. The requirements are analyzed on the example of investment project portfolios of a mining company. The research is complemented by the description of already conducted tests, where predictive models have been created to determine most effective algorithms and key project attributes allowing to predict possible budget deviations. The proposed requirements for the implementation of the predictive analysis can be applied in other organizations managing projects according to project management methodologies with access to structured project data. © 2022 The Authors. Published by Elsevier B.V.",Financial management - Financial viability,Financial management,Financial viability
Risk assessment of innovative projects: Development of forecasting models,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113860138&partnerID=40&md5=23e26859d73c146bcb46d05ab53fe730,"The purpose of this article is development a systematic dynamic complex model of generation and risk assessment of innovative project, on the bases of which a scenario modeling of many risks influence arising at certain stages of project implementation in the target area. For article purpose realization, the paper proposes a complex toolkit for modeling the innovative projects risks in the direction of their impact on performance indicators in scenarios, which involves the implementation of the following stages of modeling: Stage 1. Collection and processing of project data; Stage 2. Evaluation of innovation project efficiency indicators; Stage 3. Formation and assessment of many risks of innovation project by components, nature and impact strength; Stage 4. Modeling of innovative project development scenarios. The implemented set of models makes possible to compare all components of efficiency and riskiness, which determine the integrated aggregate level of project risk by components of life cycle risks, target project risks and scenarios depending on environmental factors and managers propensity to take risks, and solves the problem of positioning the real indicators state of innovation project efficiency in a comparative dynamic context based on three-level assessment, due to structural elements of risks and identification of possible and promising deadlines and time horizons by stages of the project life cycle, critical paths and reserves which allow us to achieve the main goal of improving the innovative projects implementation efficiency. © 2021 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",Financial management - Financial viability,Financial management,Financial viability
Business Value Creation Through Project Management Based on Big Data Approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145677998&doi=10.18280%2fisi.270516&partnerID=40&md5=900371c4fc40f8e8a79e2d0897cc421c,"In the era of big data, the high level of businesses’ digitalization, and new technology development in various fields, awash companies in a flood of massive amounts of data. Dealing with that fact is non more an option. Companies have to reexamine the way they do business in order to gain benefits from big data. Consequently, they have to review their approach of managing projects in order to create the added value. For the purpose of assessing this issue, we have adopted a research approach built on two phases. In the first, we have performed a systematic literature review to spot the gaps in the current research. The results have revealed that so far, no scientific work has discussed how companies can create business value through project management in a big data context. These results have also shown significant contributions of the research community on how big data contributes to value creation in organizations. In the second, we have suggested an approach to fills the identified gap by proposing a framework that support project management process in big data environment. © 2022 International Information and Engineering Technology Association. All rights reserved.",Financial management - Financial viability,Financial management,Financial viability
Neural network based framework for optimization of enterprise resource planning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049144895&doi=10.1109%2fCCECE.2006.277422&partnerID=40&md5=89374d4530ec39411865600473e5e9dc,"Enterprise resource planning (ERP) systems are comprehensive information technology packages which aim towards managing and integrating all the business functions within a company. ERP is built on a totally integrated unique data warehouse. Business intelligence may be created based on the information stored in the data warehouse, to enable efficient management and operations monitoring of all areas of the organization. This paper introduces a new approach that employs soft computing (SC) techniques towards automatic optimization of the management decision making process which allows for an efficient strategic management of the company.",Financial management - Financial viability,Financial management,Financial viability
PIFs for projects: Measuring performance impact factors for ICT projects,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929623497&doi=10.1109%2fIWSM.Mensura.2014.49&partnerID=40&md5=c3a229c7f168c81a14c22711e4edad37,"ICT Projects have a bad reputation: they often exceed budget or change scope. It holds especially when writing new software is involved, however, writing mobile apps, joint & distributed software development across organizations, integration of new servi",Financial management - Portfolio budget,Financial management,Portfolio budget
Mature or emerging markets: Competitive duopoly investment decisions,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875742157&doi=10.1016%2fj.ejor.2013.01.021&partnerID=40&md5=19cc2a110ef77c84a6e27260e61bae18,"We develop a competitive investment model wherein two competing firms consider investing into two projects targeting, separately, a mature and an emerging market. The returns firms obtain from investments into these markets are assumed to follow an S-sha",Financial management - Portfolio budget,Financial management,Portfolio budget
Capital project management systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650896782&partnerID=40&md5=4aa2b48c4c0e97e0460fed55e4241e5d,"Capital project management systems can enhance an organization's ability to keep the projects on track, on time and on budget; and improve their ability to meet financial and performance goals. DTE Energy selected Skire Unifier as its company wide projec",Financial management - Portfolio budget,Financial management,Portfolio budget
Optimal project portfolio selection with reinvestment strategy considering sustainability in an uncertain environment: a multi-objective optimization approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108621786&doi=10.1108%2fK-11-2020-0737&partnerID=40&md5=5459118c4bc044ed6d51e32528fdbf66,"Purpose: This study aims to develop a model for project portfolio selection considering organizational goals such as budgets, sustainability cash flow and reinvestment strategy under an uncertain environment. Design/methodology/approach: A multi-objectiv",Financial management - Portfolio budget,Financial management,Portfolio budget
Managing big data of offshore project lifecycle through investment information system,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088764343&doi=10.4043%2f28602-ms&partnerID=40&md5=dba06e4d7968ee942700f0844ae9ae39,"Big Data is popular term in some recent years and become leverage for business trend around the world. Absolutely 100% agree, all the business uses Information Technology for expanding their business and even survive on the market. IT is not supporting b",Financial management - Portfolio budget,Financial management,Portfolio budget
Information technology (IT) project portfolio management practices in South Africa,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080908183&partnerID=40&md5=9b6e594a9fac0a7f2ef21bb6c2d6920e,"Many organisations have adopted Project Portfolio Management (PPM) processes to improve the implementation of their strategies, however few organisations have achieved tangible returns on investment (ROI) from PPM. Although PPM stakeholders are aware tha",Governance - Alignment with organizational governance,Governance,Alignment with organizational governance
Strategic alignment and value maximization for IT project portfolios,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900458839&partnerID=40&md5=cc50a8e2617fbba1a11b4b226bc6249e,"Managing project portfolios has been a challenge to many IT organizations due to the size and complexity of their initiatives that are often cross-functional, fast changing, and transformational in nature. Governance on soliciting, selecting, and monitor",Governance - Alignment with organizational governance,Governance,Alignment with organizational governance
Rubric for Evaluating the Alignment of the IT Project Portfolio with IT Governance in Universities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112866259&doi=10.1145%2f3481629.3481634&partnerID=40&md5=319c1c4160fad54fd2e3730ad138ea4b,Organizations are currently using the potential of IT to achieve their strategic objectives. IT governance ensures that decisions related to information technologies are aligned with business needs and strategies. One of the best practices to introduce a,Governance - Alignment with organizational governance,Governance,Alignment with organizational governance
Continuous Improvements in Project Management Practices Through PMOs-The Case of Buzios Field,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156115634&doi=10.4043%2f32196-MS&partnerID=40&md5=ce70eddbd053b61369533e80eb073210,This paper presents a series of improvements Petrobras has been undertaking in its Project Management (PM) practices and the shaping of a multi-level Project Management Office (PMO) structure through the case of Buzios implementation program. Buzios is P,Governance - Alignment with organizational governance,Governance,Alignment with organizational governance
Connecting enterprise architecture and project portfolio management: A review and a model for IT project alignment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079595933&doi=10.4018%2fIJITPM.2020010106&partnerID=40&md5=034bc507ab878ff6c8b8e43fd3b42e71,"Enterprise architecture (EA) and project portfolio management (PPM) are key areas when it comes to connecting enterprise strategy and information technology (IT) projects. Both management disciplines enhance business capabilities, integrate skilled resou",Governance - Alignment with organizational governance,Governance,Alignment with organizational governance
Paradise by the dashboard light: Designing governance metrics in turbulent environments,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857946391&doi=10.1109%2fHICSS.2012.465&partnerID=40&md5=38fcdbdbbdbc5c645b589a3cd627b01a,"One of the emerging sweet-spots in business intelligence (BI) and business performance management (BPM) projects is the design of metrics (dashboards) in such a way that they balance the need for ""inward focused"" operational management with the need for ""outward-focused"" strategic management. Unfortunately, hitting this sweet spot often proves to be a difficult process, particularly in more turbulent environments. This article aims to understand the forces at work in the design process of these metrics using two starkly contrasting case studies involving the design of dashboards for IT departments, specifically for IT governance which concerns the alignment between business and IT. The first case explores metrics design for an organization with low external and high internal turbulence (a German insurance company), the second contrasting case focuses on a similar metrics design process but now for an organization facing low internal turbulence and high external turbulence (an African national government). Our findings suggest how the source of project turbulence impacts the success of the metrics design process, the bias towards more inward-focused or outward-focused metrics, and the overall outcomes of the project. © 2012 IEEE.",Governance - Alignment with organizational governance,Governance,Alignment with organizational governance
Information support of corporate governance and strategic management using analytical software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651273051&doi=10.1109%2fICICISYS.2010.5658550&partnerID=40&md5=4196fb8e4a03a87b9b684818c9313f04,"In the paper an information aspect of corporate governance and strategic management is considered. Relying on analysis of merits and limitations of current developments the concept of performance management information support system and the appropriate modeling approach are proposed. Finally, the possibilities of use of analytical information systems for corporate governance and strategic management are discussed. ©2010 IEEE.",Governance - Alignment with organizational governance,Governance,Alignment with organizational governance
Business intelligence capabilities as facilitators to achieve organizational agility,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987629370&partnerID=40&md5=c7d2b903a1b125653ec0eadc9daa60ba,"Today's business environment is characterized by fast and unexpected changes, many of which are driven by technological advancement. In such environment, the ability to respond effectively and adapt to the new requirements is not only desirable but essential to survive. Comprehensive and quick understanding of intricacies of market changes facilitates firm's faster and better response. Two concepts contribute to the success of this scenario; organizational agility and business intelligence (BI). As of today, despite BI's capabilities to foster organizational agility and consequently improve organizational performance, a clear link between BI and organizational agility has not been established. In this paper we argue that BI solutions have the potential to be facilitators for achieving agility. We aim at showing how BI capabilities can help achieve agility at operational, portfolio, and strategic levels.",Governance - Alignment with organizational governance,Governance,Alignment with organizational governance
Towards successful establishment of a project portfolio management system: Business process management approach,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091525141&doi=10.19255%2fJMPM02302&partnerID=40&md5=3a38aede366fee9767781e800b8168f6,"Linking structures, processes and resources with corporate strategies is a key requirement of today's organizations, bringing about integration toward achieving long-term objectives. Organizations can no longer rely on traditional practices since advance",Governance  - Roles,Governance,Roles
