Title,Authors,Year,Cited by,Abstract,DOI,Link,EID,Criterios,Publicación,Cómo aporta la analítica?,PUBLISHER,H-Index,Quartiles,Nota,URL,
Unified business intelligence ecosystem: A project management approach to address business intelligence challenges,"Ramesh B., Ramakrishna A.",2018,5,"The purpose of this paper is to explore a concept that improves the success rate of Business Intelligence projects by looking at it as an ecosystem rather than standalone project. This paper discusses the importance on Business Intelligence (BI) initiatives and today's challenges in implementing them. The concentration is on using proven practices of project management to reduce the failure rates of the Business Intelligence projects by evaluating currently existing Information Technology (IT) project process, Business Intelligence frameworks and a Project Vulnerability process in order to adopt some of the best project management practices that works for Business Intelligence projects. The paper studies currently existing processes and introduces a new concept which henceforth will be termed as 'Unified Business Intelligence Ecosystem' framework (UBIE). This research is based on various project management frameworks, those are proven to increase the efficiency of projects, and far-ranging sources of research on nature of Business Intelligence projects, personal observations and real-world Business Intelligence consulting experience. Research limitations/implications: Business Intelligence is a constantly developing field. Partial standardization and extensive availability and access to Business Intelligence resources has created many definitions and buzz words in the industry. The assumptions described in this research might seem arguable given the reader's experience in this field. Originality/value: The paper presents a different perspective to view and manage Business Intelligence projects. It encourages to interpret Business Intelligence projects as an ecosystem by combining technical, business and management aspect rather than separate, standalone entity. The aim of this research paper is to achieve Business Intelligence success by customizing Project Management (PM) practices to fit the unique need of Business Intelligence projects. Acronyms Business Intelligence-BI Project Management-PM Data Science-DS Information technology-IT Unified Business Intelligence Ecosystem-UBIE Responsibility, Accountability, Consulted, Informed-RACI. © 2018 Portland International Conference on Management of Engineering and Technology, Inc. (PICMET).",10.23919/PICMET.2018.8481744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056469838&doi=10.23919%2fPICMET.2018.8481744&partnerID=40&md5=e0edc2d4da744e3e3669f660df7a1b26,2-s2.0-85056469838,Criterios para el monitoreo y medición de valor.,2018 Proceedings of PICMET '18: Technology Management for Interconnected World,,,9,Rank: A,,,
Simulation of adaptive project management analytics,"Deleris L.A., Bagchi S., Kapoor S., Katircioglu K., Lam R., Buckley S.",2007,4,"Typically, IT projects are delivered over-budget and behind schedule. In this paper, we explore the effects of common project management practices that contribute to these problems and suggest a better alternative that can utilize resources more effectively. Our alternative approach uses (a) a thorough analysis of risks affecting activities in a project plan (i.e., the root factors leading to cost and time overruns), and (b) an optimization of the resources allocated to each activity in the project plan to maximize the probability of on time and within budget project completion. One key feature of our method is its capability to adapt and learn the risk factors affecting activities during the course of the project, enabling project managers to reallocate resources dynamically to ensure a better outcome given the updated risk profile. We use simulations to test the performance of our optimization algorithm and to gain insights into the benefits of adaptive re-planning. © 2007 IEEE.",10.1109/WSC.2007.4419859,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49749113737&doi=10.1109%2fWSC.2007.4419859&partnerID=40&md5=3916699bc04b2d319ff443c6807fe3e9,2-s2.0-49749113737,Medición o cuantificación de riesgos,Proceedings of the 2007 Winter Simulation Conference,,IEEE,N/A,Rank: B,,,
A survey study of success factors in data science projects,"Martinez I., Viles E., Olaizola I.G.",2021,1,"In recent years, the data science community has pursued excellence and made significant research efforts to develop advanced analytics, focusing on solving technical problems at the expense of organizational and socio-technical challenges. According to previous surveys on the state of data science project management, there is a significant gap between technical and organizational processes. In this article we present new empirical data from a survey to 237 data science professionals on the use of project management methodologies for data science. We provide additional profiling of the survey respondents' roles and their priorities when executing data science projects. Based on this survey study, the main findings are: (1) Agile data science lifecycle is the most widely used framework, but only 25% of the survey participants state to follow a data science project methodology. (2) The most important success factors are precisely describing stakeholders' needs, communicating the results to end-users, and team collaboration and coordination. (3) Professionals who adhere to a project methodology place greater emphasis on the project's potential risks and pitfalls, version control, the deployment pipeline to production, and data security and privacy. © 2021 IEEE.",10.1109/BigData52589.2021.9671588,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125297162&doi=10.1109%2fBigData52589.2021.9671588&partnerID=40&md5=675943ed87a232fa08a838c0a804712c,2-s2.0-85125297162,Criterios para establecer objetivos de valor,2021 IEEE International Conference on Big Data,,IEEE,N/A,Rank: B,,,
Paradise by the dashboard light: Designing governance metrics in turbulent environments,Borgman H.P.; Heier H.; Bahli B.,2012,0,"One of the emerging sweet-spots in business intelligence (BI) and business performance management (BPM) projects is the design of metrics (dashboards) in such a way that they balance the need for ""inward focused"" operational management with the need for ""outward-focused"" strategic management. Unfortunately, hitting this sweet spot often proves to be a difficult process, particularly in more turbulent environments. This article aims to understand the forces at work in the design process of these metrics using two starkly contrasting case studies involving the design of dashboards for IT departments, specifically for IT governance which concerns the alignment between business and IT. The first case explores metrics design for an organization with low external and high internal turbulence (a German insurance company), the second contrasting case focuses on a similar metrics design process but now for an organization facing low internal turbulence and high external turbulence (an African national government). Our findings suggest how the source of project turbulence impacts the success of the metrics design process, the bias towards more inward-focused or outward-focused metrics, and the overall outcomes of the project. © 2012 IEEE.",10.1109/HICSS.2012.465,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857946391&doi=10.1109%2fHICSS.2012.465&partnerID=40&md5=38fcdbdbbdbc5c645b589a3cd627b01a,2-s2.0-84857946391,Gobierno del portafolio,2012 45th Hawaii International Conference on System Sciences,,IEEE,N/A,Rank: A,,,
"Determinants of the use of predictive models in the management of investment portfolios, on the example of KGHM Polska Miedz S.A.",Wach M.; Chomiak-Orsa I.,2022,0,"The authors present the determinants of the use of predictive analysis to support decision-making processes in the area of investment project portfolio management. The requirements are analyzed on the example of investment project portfolios of a mining company. The research is complemented by the description of already conducted tests, where predictive models have been created to determine most effective algorithms and key project attributes allowing to predict possible budget deviations. The proposed requirements for the implementation of the predictive analysis can be applied in other organizations managing projects according to project management methodologies with access to structured project data. © 2022 The Authors. Published by Elsevier B.V.",10.1016/j.procs.2022.09.296,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143349882&doi=10.1016%2fj.procs.2022.09.296&partnerID=40&md5=6a716a75da5c442600f5ff9b575686da,2-s2.0-85143349882,Criterios financieros para la selección de proyectos,"Procedia Computer Science
26th International Conference on Knowledge-Based and Intelligent Information & Engineering",,Elsevier BV,109,Rank B,,,
Big data dreams: A framework for corporate strategy,Mazzei M.J.; Noble D.,2017,65,"The phenomenon of big data—large, diverse, complex, and/or longitudinal data sets—is having a stark influence on organizational strategy making. An increase in levels of data and technological capabilities is redefining innovation, competition, and productivity. This article contributes to both practical strategic application and academic research in the strategic management domain by presenting a framework that identifies how big data improves functional capabilities within organizations, shapes entirely new industries, and is a key component of innovative and disruptive strategies used by learning organizations to diversify and break down barriers of traditionally defined industries. This framework provides an appropriate basis for internal corporate strategy discussions that surround big data investments by explaining how firms create value through various approaches. In addition, we offer guidance for how firms might derive their own big data approach through the merits of aligning data strategy aspirations with data strategy authenticity. © 2017 Kelley School of Business, Indiana University",10.1016/j.bushor.2017.01.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014111304&doi=10.1016%2fj.bushor.2017.01.010&partnerID=40&md5=ea0aa2f5a6c3afb25de24a6d0a87ceeb,2-s2.0-85014111304,Alineación con la estrategia y objetivos,Business Horizons,Gestión de los interesados a partir de la analítica de datos?,Elsevier Ltd.,106,"Business and International Management 	2022 	Q1
Marketing	 2022 	Q1",,,
Risks of Data Science Projects - A Delphi Study,Varela C.; Domingues L.,2021,1,"Risk is one of the most crucial components of a project. Its proper evaluation and treatment increase the chances of a project's success. This article presents the risks in Data Science projects, assessed through a study conducted with the Delphi technique, to answer the question, ""What are the risks of Data Science projects"". The study allowed the identification of specific risks related to data science projects, however it was possible to verify that over a half of the most mentioned risks are similar to other types of IT projects. This paper describes the research from expert selection, risk identification and analysis, and the first conclusions. © 2021 Elsevier B.V. All rights reserved.",10.1016/j.procs.2021.12.100,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122894670&doi=10.1016%2fj.procs.2021.12.100&partnerID=40&md5=f996a890bce8f3a43b0c034c92134986,2-s2.0-85122894670,Identificación de riesgos,"Procedia Computer Science. 

CENTERIS - Conference on ENTERprise Information Systems",,Elsevier BV,109,No Ranqueado,"Q2 según https://journalsearches.com/journal.php?title=Procedia%20Computer%20Science#:~:text=Procedia%20Computer%20Science%20Quartile&text=%2C%20Q3%2C%20Q4.-,Q1%20is%20occupied%20by%20the%20top%2025%25%20of%20journals%20in,the%2075%20to%20100%25%20group.",,
Predicting Project Outcomes with the Association of Project Management,Robertson A.,2022,,"Project professionals place great value in accurately predicting project outcomes. Itis therefore unsurprising that there has been a rapid acceptance of a new suite of tools promising to forecastproject outcomes better than ever before. Within a few years the use of project data analytics has become widespread throughout project delivery organisations; they have become the norm. Most closely associated with dashboards,project data analytics is transforming projects' ability to see problems sooner and act quicker. Project data analytics however has not yet been 'professionalised'. No single organisation has yet solved how to holistically get the very best out of analytics to deliver more predictable projects, but many are trying across multiple industries. Some organisations have great solutions and ideas, but itis not yet encoded in how the profession delivers. Petrofac as part of the Project Data Analytics Task Force [1&2], a cross industry working group, have collaborated with the Association of Project Management (APM) [3] to publish a ground-breaking guide[4] designed to help project delivery organisations get started in project data analytics. In addition, a five step framework*is offered which is designed for project delivery organisations who are further long their journey with analytics. This framework recommends the steps organisations can take to improve their project predictability from basic systems, through to dashboards and onto machine learning and artificial intelligence. It also references the capabilities organisations need to consider forthe benefits to become embedded. The paper explores how superior project performance is best achieved when project data analytics is blended with the insights and actions our people bring to delivering projects; to improve resultsthis blend of data and people is noted as being essential. The paper highlights this as the most significant factor as to why data analytics programmesmay not bring the value organisations expect and why step 4 (automated performance) of the model is seen as the pivot to success. On realisation of step 5 (intelligent performance), an organisation would be expected to have embraced the market leading approaches to maximising project performance and be well placed to achieve market leading returns on investment and margin. The paper advocates that organisations should: • Adopt a 3-click rule to project information • Send the right action, to the right person, at the right time • Blend human and data insights by quantifying perceptions and makinginsights actionable • Automate Project Data Analytics into the working rhythm of project delivery This paper is deliberately aimed at the project professional and not the data science community. It simplifiesthe typical technical jargon around analytics and provides a wide variety of examples, tips and graphics that the project professional can easily relate to. *For clarity, the five step framework is solely the work of Petrofac and no third party organisation has either been asked to comment on or endorse this. No direct link should be inferred between the Petrofac framework and the Association of Project Management, the only connection is the author's involvement in both. Copyright © 2022, Society of Petroleum Engineers.",10.2118/210795-MS,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143059154&doi=10.2118%2f210795-MS&partnerID=40&md5=fef8335f784d88f60d7bc0c7e1b6d2f0,2-s2.0-85143059154,Gestión de capacidades,Society of Petroleum Engineers - SPE,Predecir éxito o fracaso de los proyectos?,ADIPEC,N/A,N/A,,,
A framework for big data integration within the strategic management process based on a balanced scorecard methodology,Alnoukaria M.,2021,4,"The purpose of this research is to study the impact of big data initiatives on strategic management processes. While the majority of strategic management disciplines have had research dedicated to the use of strategic management theories to understand how big data affect organizational performance, the body of research on big data lacks academic work capable of examining how to integrate big data into the strategic management process. The main contributions of this work are: (1) it highlights the strategic use of big data; (2) it analyses the main frameworks/models proposed by scholars that support the use of big data as a strategic management tool, and outlines this research gap; and (3) it proposes a new framework that integrates big data within the strategic management process based on a balanced scorecard methodology. © 2021",10.37380/jisib.v1i1.693,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106651173&doi=10.37380%2fjisib.v1i1.693&partnerID=40&md5=927624aa9a488b55f192c456a2e69112,2-s2.0-85106651173,Alineación con la estrategia y objetivos,Journal of Intelligence Studies in Business,,Halmstad University,13,"Management Science and Operations Research 	2022	 Q4
Business, Management and Accounting (miscellaneous)	 2022	 Q4",,,
Integrating a Project Risk Model into a BI Architecture,"Nunes M., Abreu A., Bagnjuk J., Saraiva C., Viana H.",2022,,"In today’s unpredictable and disruptive business landscape organizations face challenges that severely threatens their existence. To efficiently respond such challenges organizations must craft strategies to become more data-informed, agile, adaptative, and flexible. Integrating dynamic data analytical models in organizational structures to collect, analyze and interpret business data, is critical to organizations because it enables them to make more data-informed decisions and reduce bias in decision-making. In this work is illustrated the integration of a heuristic project risk-model used to identify project critical success factors into a typical organizational business intelligence architecture. The proposed integration enables organizations to efficiently and in a timely manner identify project collaborative risks by addressing people, environment, and tools, and generate actionable project-related knowledge that helps organizations to efficiently respond business challenges and achieve sustainable competitive advantages. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",10.1007/978-3-030-94617-3_29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128956819&doi=10.1007%2f978-3-030-94617-3_29&partnerID=40&md5=c8c022a17fc042c41535d4b475d8bb04,2-s2.0-85128956819,Alineación con la estrategia y objetivos,"Lecture Notes in Information Systems and Organisation book series
Digital Transformation in Industry",,Springer Nature,N/A,N/A,,,
Big Data in Portfolio Allocation: A New Approach to Successful Portfolio Optimization,Aldridge I.,2019,7,"In the classic mean-variance portfolio theory as proposed by Harry Markowitz, the weights of the optimized portfolios are directly proportional to the inverse of the asset correlation matrix. However, most contemporary portfolio optimization research focuses on optimizing the correlation matrix itself, and not its inverse. In this article, the author demonstrates that this is a mistake. Specifically, from the Big Data perspective, she proves that the inverse of the correlation matrix is much more unstable and sensitive to random perturbations than is the correlation matrix itself. As such, optimization of the inverse of the correlation matrix adds more value to optimal portfolio selection than does optimization of the correlation matrix. The author further shows the empirical results of portfolio reallocation under different common portfolio composition scenarios. The technique outperforms traditional portfolio allocation techniques out of sample, delivering nearly 400% improvement over the equally weighted allocation over a 20-year investment period on the S&P 500 portfolio with monthly reallocation. In general, the author demonstrates that the correlation inverse optimization proposed in this article significantly outperforms the other core portfolio allocation strategies, such as equally weighted portfolios, vanilla mean-variance optimization, and techniques based on the spectral decomposition of the correlation matrix. The results presented in this article are novel in the data science space, extend far beyond financial data, and are applicable to any data correlation matrixes and their inverses, whether in advertising, healthcare, or genomics. © 2019 Pageant Media Ltd.",10.3905/jfds.2019.1.045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088398199&doi=10.3905%2fjfds.2019.1.045&partnerID=40&md5=7594e41db9cab0aa632ac4907db2dbce,2-s2.0-85088398199,Optimización,Journal of Financial Data Science,Optimización del portafolio a partir del análisis de los datos?,With intelligence,10,"Artificial Intelligence	 2022	 Q2
Business and International Management 	2022 	Q2",No disponible para descarga,https://www.pm-research.com/content/iijjfds/1/1/45 ,
